med.orarie NO2 [ug/m3] staz.** GIARDINI MARGHERITA

aaaa mm gg hh        NO2
2014 01 11 01    -9999.0
2014 01 11 02       44.0
2014 01 11 03       44.0
2014 01 11 04       43.0
2014 01 11 05       38.0
2014 01 11 06       38.0
2014 01 11 07       40.0
2014 01 11 08       41.0
2014 01 11 09       39.0
2014 01 11 10       46.0
2014 01 11 11       56.0
2014 01 11 12       55.0
2014 01 11 13       55.0
2014 01 11 14       57.0
2014 01 11 15       58.0
2014 01 11 16       56.0
2014 01 11 17       55.0
2014 01 11 18       56.0
2014 01 11 19       58.0
2014 01 11 20       59.0
2014 01 11 21       59.0
2014 01 11 22       60.0
2014 01 11 23       58.0
2014 01 12 00       49.0
2014 01 12 01    -9999.0
2014 01 12 02       43.0
2014 01 12 03       36.0
2014 01 12 04       38.0
2014 01 12 05       32.0
2014 01 12 06       31.0
2014 01 12 07       36.0
2014 01 12 08       32.0
2014 01 12 09       32.0
2014 01 12 10       31.0
2014 01 12 11       27.0
2014 01 12 12       39.0
2014 01 12 13       41.0
2014 01 12 14       40.0
2014 01 12 15       43.0
2014 01 12 16       47.0
2014 01 12 17       50.0
2014 01 12 18       51.0
2014 01 12 19       46.0
2014 01 12 20       51.0
2014 01 12 21       50.0
2014 01 12 22       50.0
2014 01 12 23       51.0
2014 01 13 00       51.0
2014 01 13 01    -9999.0
2014 01 13 02       54.0
2014 01 13 03       55.0
2014 01 13 04       55.0
2014 01 13 05       53.0
2014 01 13 06       42.0
2014 01 13 07       40.0
2014 01 13 08       38.0
2014 01 13 09       38.0
2014 01 13 10       39.0
2014 01 13 11       40.0
2014 01 13 12       34.0
2014 01 13 13       34.0
2014 01 13 14       44.0
2014 01 13 15       48.0
2014 01 13 16       47.0
2014 01 13 17       52.0
2014 01 13 18       54.0
2014 01 13 19       53.0
2014 01 13 20       53.0
2014 01 13 21       52.0
2014 01 13 22       53.0
2014 01 13 23       50.0
2014 01 14 00       47.0
2014 01 14 01    -9999.0
2014 01 14 02       42.0
2014 01 14 03       40.0
2014 01 14 04       35.0
2014 01 14 05       36.0
2014 01 14 06       40.0
2014 01 14 07       44.0
2014 01 14 08       45.0
2014 01 14 09       45.0
2014 01 14 10       44.0
2014 01 14 11       48.0
2014 01 14 12       52.0
2014 01 14 13       48.0
2014 01 14 14       38.0
2014 01 14 15       39.0
2014 01 14 16       42.0
2014 01 14 17       43.0
2014 01 14 18       46.0
2014 01 14 19       46.0
2014 01 14 20       49.0
2014 01 14 21       50.0
2014 01 14 22       50.0
2014 01 14 23       46.0
2014 01 15 00       49.0
2014 01 15 01    -9999.0
2014 01 15 02       47.0
2014 01 15 03       41.0
2014 01 15 04       39.0
2014 01 15 05       36.0
2014 01 15 06       35.0
2014 01 15 07       36.0
2014 01 15 08       39.0
2014 01 15 09       43.0
2014 01 15 10       39.0
2014 01 15 11       35.0
2014 01 15 12       37.0
2014 01 15 13       40.0
2014 01 15 14       47.0
2014 01 15 15       46.0
2014 01 15 16       49.0
2014 01 15 17       53.0
2014 01 15 18       52.0
2014 01 15 19       49.0
2014 01 15 20       44.0
2014 01 15 21       43.0
2014 01 15 22       43.0
2014 01 15 23       42.0
2014 01 16 00       37.0
2014 01 16 01    -9999.0
2014 01 16 02       39.0
2014 01 16 03       38.0
2014 01 16 04       37.0
2014 01 16 05       37.0
2014 01 16 06       37.0
2014 01 16 07       39.0
2014 01 16 08       41.0
2014 01 16 09       46.0
2014 01 16 10       52.0
2014 01 16 11       50.0
2014 01 16 12       50.0
2014 01 16 13       49.0
2014 01 16 14       50.0
2014 01 16 15       54.0
2014 01 16 16       56.0
2014 01 16 17       55.0
2014 01 16 18       58.0
2014 01 16 19       58.0
2014 01 16 20       58.0
2014 01 16 21       57.0
2014 01 16 22       56.0
2014 01 16 23       55.0
2014 01 17 00       51.0
2014 01 17 01    -9999.0
2014 01 17 02       44.0
2014 01 17 03       38.0
2014 01 17 04       41.0
2014 01 17 05       42.0
2014 01 17 06       43.0
2014 01 17 07       41.0
2014 01 17 08       53.0
2014 01 17 09       55.0
2014 01 17 10       57.0
2014 01 17 11       53.0
2014 01 17 12       46.0
2014 01 17 13       41.0
2014 01 17 14       39.0
2014 01 17 15       39.0
2014 01 17 16       44.0
2014 01 17 17       48.0
2014 01 17 18       48.0
2014 01 17 19       49.0
2014 01 17 20       51.0
2014 01 17 21       53.0
2014 01 17 22       52.0
2014 01 17 23       53.0
2014 01 18 00       53.0
2014 01 18 01    -9999.0
2014 01 18 02       49.0
2014 01 18 03       49.0
2014 01 18 04       52.0
2014 01 18 05       53.0
2014 01 18 06       54.0
2014 01 18 07       53.0
2014 01 18 08       52.0
2014 01 18 09       56.0
2014 01 18 10       58.0
2014 01 18 11       62.0
2014 01 18 12       66.0
2014 01 18 13       70.0
2014 01 18 14       72.0
2014 01 18 15       69.0
2014 01 18 16       66.0
2014 01 18 17       63.0
2014 01 18 18       61.0
2014 01 18 19       62.0
2014 01 18 20       61.0
2014 01 18 21       60.0
2014 01 18 22       59.0
2014 01 18 23       52.0
2014 01 19 00       53.0
2014 01 19 01    -9999.0
2014 01 19 02       56.0
2014 01 19 03       57.0
2014 01 19 04       57.0
2014 01 19 05       55.0
2014 01 19 06       51.0
2014 01 19 07       51.0
2014 01 19 08       52.0
2014 01 19 09       52.0
2014 01 19 10       52.0
2014 01 19 11       51.0
2014 01 19 12       52.0
2014 01 19 13       55.0
2014 01 19 14       54.0
2014 01 19 15       56.0
2014 01 19 16       56.0
2014 01 19 17       50.0
2014 01 19 18       54.0
2014 01 19 19       55.0
2014 01 19 20       54.0
2014 01 19 21       54.0
2014 01 19 22       55.0
2014 01 19 23       54.0
2014 01 20 00       55.0
2014 01 20 01    -9999.0
2014 01 20 02       52.0
2014 01 20 03       52.0
2014 01 20 04       50.0
2014 01 20 05       52.0
2014 01 20 06       52.0
2014 01 20 07       49.0
2014 01 20 08       49.0
2014 01 20 09       48.0
2014 01 20 10       49.0
2014 01 20 11       50.0
2014 01 20 12       38.0
2014 01 20 13       41.0
2014 01 20 14       42.0
2014 01 20 15       43.0
2014 01 20 16       48.0
2014 01 20 17       51.0
2014 01 20 18       52.0
2014 01 20 19       53.0
2014 01 20 20       52.0
2014 01 20 21       50.0
2014 01 20 22       50.0
2014 01 20 23       48.0
2014 01 21 00       45.0
2014 01 21 01    -9999.0
2014 01 21 02       40.0
2014 01 21 03       36.0
2014 01 21 04       30.0
2014 01 21 05       29.0
2014 01 21 06       27.0
2014 01 21 07       30.0
2014 01 21 08       34.0
2014 01 21 09       47.0
2014 01 21 10       52.0
2014 01 21 11       47.0
2014 01 21 12       43.0
2014 01 21 13       43.0
2014 01 21 14       41.0
2014 01 21 15       46.0
2014 01 21 16       47.0
2014 01 21 17       55.0
2014 01 21 18       56.0
2014 01 21 19       50.0
2014 01 21 20       49.0
2014 01 21 21       52.0
2014 01 21 22       47.0
2014 01 21 23       44.0
2014 01 22 00       40.0
2014 01 22 01    -9999.0
2014 01 22 02       36.0
2014 01 22 03       34.0
2014 01 22 04       21.0
2014 01 22 05       23.0
2014 01 22 06       34.0
2014 01 22 07       40.0
2014 01 22 08       42.0
2014 01 22 09       47.0
2014 01 22 10       65.0
2014 01 22 11       81.0
2014 01 22 12       70.0
2014 01 22 13       58.0
2014 01 22 14       56.0
2014 01 22 15       54.0
2014 01 22 16       53.0
2014 01 22 17       55.0
2014 01 22 18       50.0
2014 01 22 19       50.0
2014 01 22 20       55.0
2014 01 22 21       46.0
2014 01 22 22       33.0
2014 01 22 23       30.0
2014 01 23 00       14.0
2014 01 23 01    -9999.0
2014 01 23 02       20.0
2014 01 23 03        9.0
2014 01 23 04        8.0
2014 01 23 05        6.0
2014 01 23 06        6.0
2014 01 23 07        9.0
2014 01 23 08       18.0
2014 01 23 09       17.0
2014 01 23 10       27.0
2014 01 23 11       42.0
2014 01 23 12       57.0
2014 01 23 13       54.0
2014 01 23 14       57.0
2014 01 23 15       66.0
2014 01 23 16       61.0
2014 01 23 17       61.0
2014 01 23 18       60.0
2014 01 23 19       58.0
2014 01 23 20       56.0
2014 01 23 21       57.0
2014 01 23 22       63.0
2014 01 23 23       65.0
2014 01 24 00       61.0
2014 01 24 01    -9999.0
2014 01 24 02       63.0
2014 01 24 03       58.0
2014 01 24 04       47.0
2014 01 24 05       37.0
2014 01 24 06       36.0
2014 01 24 07       27.0
2014 01 24 08       41.0
2014 01 24 09       49.0
2014 01 24 10       58.0
2014 01 24 11       59.0
2014 01 24 12       58.0
2014 01 24 13       51.0
2014 01 24 14       46.0
2014 01 24 15       54.0
2014 01 24 16       59.0
2014 01 24 17       56.0
2014 01 24 18       53.0
2014 01 24 19       59.0
2014 01 24 20       61.0
2014 01 24 21       62.0
2014 01 24 22       52.0
2014 01 24 23       49.0
2014 01 25 00       47.0
2014 01 25 01    -9999.0
2014 01 25 02       40.0
2014 01 25 03       38.0
2014 01 25 04       40.0
2014 01 25 05       50.0
2014 01 25 06       51.0
2014 01 25 07       48.0
2014 01 25 08       48.0
2014 01 25 09       46.0
2014 01 25 10       50.0
2014 01 25 11       56.0
2014 01 25 12       44.0
2014 01 25 13       33.0
2014 01 25 14       32.0
2014 01 25 15       27.0
2014 01 25 16       28.0
2014 01 25 17       36.0
2014 01 25 18       48.0
2014 01 25 19       48.0
2014 01 25 20       56.0
2014 01 25 21       58.0
2014 01 25 22       50.0
2014 01 25 23       44.0
2014 01 26 00       42.0
2014 01 26 01    -9999.0
2014 01 26 02       33.0
2014 01 26 03       26.0
2014 01 26 04       25.0
2014 01 26 05       24.0
2014 01 26 06       50.0
2014 01 26 07       57.0
2014 01 26 08       58.0
2014 01 26 09       50.0
2014 01 26 10       41.0
2014 01 26 11       39.0
2014 01 26 12       45.0
2014 01 26 13       39.0
2014 01 26 14       33.0
2014 01 26 15       28.0
2014 01 26 16       34.0
2014 01 26 17       42.0
2014 01 26 18       49.0
2014 01 26 19       38.0
2014 01 26 20       34.0
2014 01 26 21       29.0
2014 01 26 22       54.0
2014 01 26 23       58.0
2014 01 27 00       55.0
2014 01 27 01    -9999.0
2014 01 27 02       55.0
2014 01 27 03       61.0
2014 01 27 04       59.0
2014 01 27 05       57.0
2014 01 27 06       56.0
2014 01 27 07       57.0
2014 01 27 08       60.0
2014 01 27 09       62.0
2014 01 27 10       62.0
2014 01 27 11       58.0
2014 01 27 12       37.0
2014 01 27 13       51.0
2014 01 27 14       61.0
2014 01 27 15       63.0
2014 01 27 16       70.0
2014 01 27 17       75.0
2014 01 27 18       82.0
2014 01 27 19       86.0
2014 01 27 20       87.0
2014 01 27 21       86.0
2014 01 27 22       77.0
2014 01 27 23       72.0
2014 01 28 00       65.0
2014 01 28 01    -9999.0
2014 01 28 02       52.0
2014 01 28 03       49.0
2014 01 28 04       45.0
2014 01 28 05       44.0
2014 01 28 06       48.0
2014 01 28 07       56.0
2014 01 28 08       59.0
2014 01 28 09       67.0
2014 01 28 10       69.0
2014 01 28 11       71.0
2014 01 28 12       71.0
2014 01 28 13       72.0
2014 01 28 14       62.0
2014 01 28 15       57.0
2014 01 28 16       56.0
2014 01 28 17       58.0
2014 01 28 18       22.0
2014 01 28 19       18.0
2014 01 28 20       18.0
2014 01 28 21       26.0
2014 01 28 22       28.0
2014 01 28 23       36.0
2014 01 29 00       39.0
2014 01 29 01    -9999.0
2014 01 29 02       15.0
2014 01 29 03       25.0
2014 01 29 04       24.0
2014 01 29 05       33.0
2014 01 29 06       47.0
2014 01 29 07       69.0
2014 01 29 08       79.0
2014 01 29 09       80.0
2014 01 29 10       85.0
2014 01 29 11      114.0
2014 01 29 12      106.0
2014 01 29 13       76.0
2014 01 29 14       70.0
2014 01 29 15       67.0
2014 01 29 16       70.0
2014 01 29 17       80.0
2014 01 29 18       82.0
2014 01 29 19       86.0
2014 01 29 20       85.0
2014 01 29 21       92.0
2014 01 29 22       95.0
2014 01 29 23       96.0
2014 01 30 00       85.0
2014 01 30 01    -9999.0
2014 01 30 02       76.0
2014 01 30 03       74.0
2014 01 30 04       70.0
2014 01 30 05       63.0
2014 01 30 06       57.0
2014 01 30 07       59.0
2014 01 30 08       55.0
2014 01 30 09       64.0
2014 01 30 10       74.0
2014 01 30 11       74.0
2014 01 30 12       73.0
2014 01 30 13       66.0
2014 01 30 14       72.0
2014 01 30 15       79.0
2014 01 30 16       83.0
2014 01 30 17       80.0
2014 01 30 18       84.0
2014 01 30 19       83.0
2014 01 30 20       86.0
2014 01 30 21       92.0
2014 01 30 22       89.0
2014 01 30 23       73.0
2014 01 31 00       65.0
2014 01 31 01    -9999.0
2014 01 31 02       61.0
2014 01 31 03       64.0
2014 01 31 04       65.0
2014 01 31 05       64.0
2014 01 31 06       57.0
2014 01 31 07       59.0
2014 01 31 08       62.0
2014 01 31 09       68.0
2014 01 31 10       73.0
2014 01 31 11       71.0
2014 01 31 12       72.0
2014 01 31 13       72.0
2014 01 31 14       69.0
2014 01 31 15       67.0
2014 01 31 16       69.0
2014 01 31 17       76.0
2014 01 31 18       74.0
2014 01 31 19       76.0
2014 01 31 20       74.0
2014 01 31 21       72.0
2014 01 31 22       67.0
2014 01 31 23       64.0
2014 02 01 00       57.0
2014 02 01 01    -9999.0
2014 02 01 02       53.0
2014 02 01 03       49.0
2014 02 01 04       51.0
2014 02 01 05       58.0
2014 02 01 06       58.0
2014 02 01 07       61.0
2014 02 01 08       62.0
2014 02 01 09       62.0
2014 02 01 10       60.0
2014 02 01 11       62.0
2014 02 01 12       69.0
