med.orarie NO2 [ug/m3] staz.** FEBBIO

aaaa mm gg hh        NO2
2014 01 11 02        1.9
2014 01 11 03        1.7
2014 01 11 04    -9999.0
2014 01 11 05        1.6
2014 01 11 06        1.7
2014 01 11 07        1.6
2014 01 11 08        1.9
2014 01 11 09        2.7
2014 01 11 10        2.7
2014 01 11 11        1.8
2014 01 11 12        1.6
2014 01 11 13        1.6
2014 01 11 14        1.9
2014 01 11 15        2.3
2014 01 11 16        3.7
2014 01 11 17        5.3
2014 01 11 18        8.8
2014 01 11 19        9.4
2014 01 11 20        5.2
2014 01 11 21        4.0
2014 01 11 22        3.1
2014 01 11 23        2.5
2014 01 12 00        2.5
2014 01 12 01        2.3
2014 01 12 02        1.9
2014 01 12 03        1.7
2014 01 12 04    -9999.0
2014 01 12 05        1.5
2014 01 12 06        1.5
2014 01 12 07        1.2
2014 01 12 08        1.9
2014 01 12 09        2.1
2014 01 12 10        2.5
2014 01 12 11        2.0
2014 01 12 12        2.2
2014 01 12 13        1.9
2014 01 12 14        2.0
2014 01 12 15        2.4
2014 01 12 16        4.0
2014 01 12 17        8.1
2014 01 12 18        5.1
2014 01 12 19        3.1
2014 01 12 20        3.7
2014 01 12 21        3.8
2014 01 12 22        2.0
2014 01 12 23        2.1
2014 01 13 00        1.8
2014 01 13 01        1.3
2014 01 13 02        1.4
2014 01 13 03    -9999.0
2014 01 13 04    -9999.0
2014 01 13 05        1.6
2014 01 13 06        1.7
2014 01 13 07        1.5
2014 01 13 08        1.6
2014 01 13 09        1.5
2014 01 13 10        2.1
2014 01 13 11        2.0
2014 01 13 12        1.8
2014 01 13 13        2.2
2014 01 13 14        3.8
2014 01 13 15        4.9
2014 01 13 16        5.5
2014 01 13 17        6.5
2014 01 13 18        7.8
2014 01 13 19        9.3
2014 01 13 20        5.9
2014 01 13 21        3.8
2014 01 13 22        4.1
2014 01 13 23        3.8
2014 01 14 00        3.9
2014 01 14 01        3.4
2014 01 14 02        4.3
2014 01 14 03        4.6
2014 01 14 04    -9999.0
2014 01 14 05        9.4
2014 01 14 06        6.3
2014 01 14 07        4.2
2014 01 14 08        4.1
2014 01 14 09        3.2
2014 01 14 10        6.7
2014 01 14 11        3.9
2014 01 14 12        2.9
