med.orarie NO2 [ug/m3] staz.** VILLA FULVIA

aaaa mm gg hh        NO2
2014 01 11 02       48.0
2014 01 11 03    -9999.0
2014 01 11 04       44.0
2014 01 11 05       41.0
2014 01 11 06       40.0
2014 01 11 07       45.0
2014 01 11 08       50.0
2014 01 11 09       49.0
2014 01 11 10       50.0
2014 01 11 11       50.0
2014 01 11 12       53.0
2014 01 11 13       57.0
2014 01 11 14       54.0
2014 01 11 15       55.0
2014 01 11 16       56.0
2014 01 11 17       61.0
2014 01 11 18       62.0
2014 01 11 19       59.0
2014 01 11 20       59.0
2014 01 11 21       60.0
2014 01 11 22       59.0
2014 01 11 23       57.0
2014 01 12 00       53.0
2014 01 12 01       53.0
2014 01 12 02       51.0
2014 01 12 03    -9999.0
2014 01 12 04       50.0
2014 01 12 05       47.0
2014 01 12 06       45.0
2014 01 12 07       45.0
2014 01 12 08       44.0
2014 01 12 09       42.0
2014 01 12 10       35.0
2014 01 12 11       33.0
2014 01 12 12       34.0
2014 01 12 13       36.0
2014 01 12 14       40.0
2014 01 12 15       45.0
2014 01 12 16       53.0
2014 01 12 17       56.0
2014 01 12 18       57.0
2014 01 12 19       63.0
2014 01 12 20       62.0
2014 01 12 21       58.0
2014 01 12 22       57.0
2014 01 12 23       52.0
2014 01 13 00       46.0
2014 01 13 01       40.0
2014 01 13 02       46.0
2014 01 13 03    -9999.0
2014 01 13 04       47.0
2014 01 13 05       42.0
2014 01 13 06       44.0
2014 01 13 07       43.0
2014 01 13 08       43.0
2014 01 13 09       42.0
2014 01 13 10       39.0
2014 01 13 11       33.0
2014 01 13 12    -9999.0
2014 01 13 13       26.0
2014 01 13 14       33.0
2014 01 13 15       35.0
2014 01 13 16       33.0
2014 01 13 17       39.0
2014 01 13 18       41.0
2014 01 13 19       43.0
2014 01 13 20       46.0
2014 01 13 21       41.0
2014 01 13 22       35.0
2014 01 13 23       35.0
2014 01 14 00       29.0
2014 01 14 01       34.0
2014 01 14 02       41.0
2014 01 14 03    -9999.0
2014 01 14 04       22.0
2014 01 14 05       16.0
2014 01 14 06       14.0
2014 01 14 07       18.0
2014 01 14 08       27.0
2014 01 14 09       36.0
2014 01 14 10       29.0
2014 01 14 11       24.0
2014 01 14 12       23.0
2014 01 14 13       23.0
2014 01 14 14       35.0
2014 01 14 15       34.0
2014 01 14 16       36.0
2014 01 14 17       44.0
2014 01 14 18       45.0
2014 01 14 19       48.0
2014 01 14 20       46.0
2014 01 14 21       47.0
2014 01 14 22       49.0
2014 01 14 23       49.0
2014 01 15 00       47.0
2014 01 15 01       45.0
2014 01 15 02       42.0
2014 01 15 03    -9999.0
2014 01 15 04       37.0
2014 01 15 05       38.0
2014 01 15 06       40.0
2014 01 15 07       43.0
2014 01 15 08       47.0
2014 01 15 09       48.0
2014 01 15 10       37.0
2014 01 15 11       26.0
2014 01 15 12       25.0
2014 01 15 13       25.0
2014 01 15 14       27.0
2014 01 15 15       31.0
2014 01 15 16       35.0
2014 01 15 17       42.0
2014 01 15 18       42.0
2014 01 15 19       50.0
2014 01 15 20       53.0
2014 01 15 21       51.0
2014 01 15 22       45.0
2014 01 15 23       49.0
2014 01 16 00       48.0
2014 01 16 01       52.0
2014 01 16 02       47.0
2014 01 16 03    -9999.0
2014 01 16 04       46.0
2014 01 16 05       46.0
2014 01 16 06       40.0
2014 01 16 07       42.0
2014 01 16 08       45.0
2014 01 16 09       44.0
2014 01 16 10       37.0
2014 01 16 11       35.0
2014 01 16 12       34.0
2014 01 16 13       32.0
2014 01 16 14       32.0
2014 01 16 15       30.0
2014 01 16 16       33.0
2014 01 16 17       36.0
2014 01 16 18       34.0
2014 01 16 19       34.0
2014 01 16 20       34.0
2014 01 16 21       33.0
2014 01 16 22       32.0
2014 01 16 23       33.0
2014 01 17 00       31.0
2014 01 17 01       35.0
2014 01 17 02       32.0
2014 01 17 03    -9999.0
2014 01 17 04       19.0
2014 01 17 05       20.0
2014 01 17 06       23.0
2014 01 17 07       26.0
2014 01 17 08       36.0
2014 01 17 09       39.0
2014 01 17 10       36.0
2014 01 17 11       36.0
2014 01 17 12       41.0
2014 01 17 13       40.0
2014 01 17 14       41.0
2014 01 17 15       42.0
2014 01 17 16       43.0
2014 01 17 17       43.0
2014 01 17 18       47.0
2014 01 17 19       49.0
2014 01 17 20       51.0
2014 01 17 21       52.0
2014 01 17 22       53.0
2014 01 17 23       52.0
2014 01 18 00       52.0
2014 01 18 01       51.0
2014 01 18 02       51.0
2014 01 18 03    -9999.0
2014 01 18 04       53.0
2014 01 18 05       54.0
2014 01 18 06       56.0
2014 01 18 07       58.0
2014 01 18 08       53.0
2014 01 18 09       52.0
2014 01 18 10       53.0
2014 01 18 11       52.0
2014 01 18 12       51.0
2014 01 18 13       54.0
2014 01 18 14       49.0
2014 01 18 15       46.0
2014 01 18 16       52.0
2014 01 18 17       52.0
2014 01 18 18       53.0
2014 01 18 19       52.0
2014 01 18 20       53.0
2014 01 18 21       55.0
2014 01 18 22       55.0
2014 01 18 23       55.0
2014 01 19 00       47.0
2014 01 19 01       46.0
2014 01 19 02       46.0
2014 01 19 03    -9999.0
2014 01 19 04       46.0
2014 01 19 05       46.0
2014 01 19 06       45.0
2014 01 19 07       45.0
2014 01 19 08       43.0
2014 01 19 09       43.0
2014 01 19 10       44.0
2014 01 19 11       43.0
2014 01 19 12       42.0
2014 01 19 13       42.0
2014 01 19 14       40.0
2014 01 19 15       42.0
2014 01 19 16       41.0
2014 01 19 17       44.0
2014 01 19 18       45.0
