med.orarie NO2 [ug/m3] staz.** BALLIRANA

aaaa mm gg hh        NO2
2014 01 11 01       26.0
2014 01 11 02       24.0
2014 01 11 03       23.0
2014 01 11 04       22.0
2014 01 11 05       22.0
2014 01 11 06       19.0
2014 01 11 07       18.0
2014 01 11 08       18.0
2014 01 11 09       16.0
2014 01 11 10       20.0
2014 01 11 11       29.0
2014 01 11 12       33.0
2014 01 11 13       35.0
2014 01 11 14       35.0
2014 01 11 15       37.0
2014 01 11 16       39.0
2014 01 11 17       40.0
2014 01 11 18       38.0
2014 01 11 19       33.0
2014 01 11 20       33.0
2014 01 11 21       34.0
2014 01 11 22       41.0
2014 01 11 23       42.0
2014 01 12 00       42.0
2014 01 12 01       37.0
2014 01 12 02       31.0
2014 01 12 03       30.0
2014 01 12 04       27.0
2014 01 12 05       24.0
2014 01 12 06       27.0
2014 01 12 07       26.0
2014 01 12 08       24.0
2014 01 12 09       23.0
2014 01 12 10       26.0
2014 01 12 11       24.0
2014 01 12 12       24.0
2014 01 12 13       20.0
2014 01 12 14       16.0
2014 01 12 15       16.0
2014 01 12 16       14.0
2014 01 12 17       15.0
2014 01 12 18       19.0
2014 01 12 19       18.0
2014 01 12 20       16.0
2014 01 12 21       13.0
2014 01 12 22       14.0
2014 01 12 23       22.0
2014 01 13 00       25.0
2014 01 13 01       28.0
2014 01 13 02       34.0
2014 01 13 03       36.0
2014 01 13 04       32.0
2014 01 13 05       27.0
2014 01 13 06       26.0
2014 01 13 07       25.0
2014 01 13 08       24.0
2014 01 13 09       24.0
2014 01 13 10       22.0
2014 01 13 11       22.0
2014 01 13 12       22.0
2014 01 13 13       20.0
2014 01 13 14       18.0
2014 01 13 15       17.0
2014 01 13 16       16.0
2014 01 13 17       23.0
2014 01 13 18       30.0
2014 01 13 19       21.0
2014 01 13 20       27.0
2014 01 13 21       21.0
2014 01 13 22       14.0
2014 01 13 23       11.0
2014 01 14 00       17.0
2014 01 14 01       14.0
2014 01 14 02       16.0
2014 01 14 03       16.0
2014 01 14 04       10.0
2014 01 14 05       11.0
2014 01 14 06       17.0
2014 01 14 07       18.0
2014 01 14 08       16.0
2014 01 14 09       16.0
2014 01 14 10       14.0
2014 01 14 11       13.0
2014 01 14 12       17.0
2014 01 14 13       11.0
2014 01 14 14       11.0
2014 01 14 15       15.0
2014 01 14 16       26.0
2014 01 14 17       25.0
2014 01 14 18       30.0
2014 01 14 19       29.0
2014 01 14 20       30.0
2014 01 14 21       30.0
2014 01 14 22       33.0
2014 01 14 23       34.0
2014 01 15 00       33.0
2014 01 15 01       33.0
2014 01 15 02       32.0
2014 01 15 03       30.0
2014 01 15 04       32.0
2014 01 15 05       29.0
2014 01 15 06       26.0
2014 01 15 07       26.0
2014 01 15 08       23.0
2014 01 15 09       19.0
2014 01 15 10       22.0
2014 01 15 11       14.0
2014 01 15 12       10.0
2014 01 15 13       10.0
2014 01 15 14       11.0
2014 01 15 15       14.0
2014 01 15 16       15.0
2014 01 15 17       18.0
2014 01 15 18       26.0
2014 01 15 19       31.0
2014 01 15 20       28.0
2014 01 15 21       26.0
2014 01 15 22       25.0
2014 01 15 23       24.0
2014 01 16 00       21.0
2014 01 16 01       20.0
2014 01 16 02       20.0
2014 01 16 03       14.0
2014 01 16 04       15.0
2014 01 16 05       17.0
2014 01 16 06       20.0
2014 01 16 07       21.0
2014 01 16 08       20.0
2014 01 16 09       17.0
2014 01 16 10       15.0
2014 01 16 11       15.0
2014 01 16 12       18.0
2014 01 16 13       23.0
2014 01 16 14       23.0
2014 01 16 15       26.0
2014 01 16 16       22.0
2014 01 16 17       19.0
2014 01 16 18       21.0
2014 01 16 19       17.0
2014 01 16 20       18.0
2014 01 16 21       17.0
2014 01 16 22       13.0
2014 01 16 23       11.0
2014 01 17 00       10.0
2014 01 17 01       10.0
2014 01 17 02       10.0
2014 01 17 03       10.0
2014 01 17 04       10.0
2014 01 17 05       13.0
2014 01 17 06       13.0
2014 01 17 07        4.0
2014 01 17 08        8.0
2014 01 17 09       14.0
2014 01 17 10       14.0
2014 01 17 11        7.0
2014 01 17 12        7.0
2014 01 17 13       10.0
2014 01 17 14       14.0
2014 01 17 15       20.0
2014 01 17 16       29.0
2014 01 17 17       28.0
2014 01 17 18       30.0
2014 01 17 19       35.0
2014 01 17 20       36.0
2014 01 17 21       37.0
2014 01 17 22       39.0
2014 01 17 23       40.0
2014 01 18 00       42.0
2014 01 18 01       44.0
2014 01 18 02       43.0
2014 01 18 03       42.0
2014 01 18 04       41.0
2014 01 18 05       40.0
2014 01 18 06       40.0
2014 01 18 07       39.0
2014 01 18 08       38.0
2014 01 18 09       39.0
2014 01 18 10       37.0
2014 01 18 11       37.0
2014 01 18 12       38.0
2014 01 18 13       37.0
2014 01 18 14       36.0
2014 01 18 15       36.0
2014 01 18 16       35.0
2014 01 18 17       37.0
2014 01 18 18       36.0
2014 01 18 19       37.0
2014 01 18 20       36.0
2014 01 18 21       34.0
2014 01 18 22       33.0
2014 01 18 23       35.0
2014 01 19 00       36.0
2014 01 19 01       37.0
2014 01 19 02       37.0
2014 01 19 03       37.0
2014 01 19 04       36.0
2014 01 19 05       36.0
2014 01 19 06       35.0
2014 01 19 07       33.0
2014 01 19 08       36.0
2014 01 19 09       35.0
2014 01 19 10       34.0
2014 01 19 11       33.0
2014 01 19 12       32.0
2014 01 19 13       31.0
2014 01 19 14       31.0
2014 01 19 15       31.0
2014 01 19 16       32.0
2014 01 19 17       34.0
2014 01 19 18       32.0
2014 01 19 19       33.0
2014 01 19 20       33.0
2014 01 19 21       31.0
2014 01 19 22       29.0
2014 01 19 23       29.0
2014 01 20 00       29.0
2014 01 20 01       27.0
