med.orarie NO2 [ug/m3] staz.** PARCO RESISTENZA

aaaa mm gg hh        NO2
2014 01 11 02       24.0
2014 01 11 03       23.0
2014 01 11 04    -9999.0
2014 01 11 05       23.0
2014 01 11 06       19.0
2014 01 11 07       19.0
2014 01 11 08       20.0
2014 01 11 09       21.0
2014 01 11 10       27.0
2014 01 11 11       26.0
2014 01 11 12       27.0
2014 01 11 13       25.0
2014 01 11 14       25.0
2014 01 11 15       25.0
2014 01 11 16       26.0
2014 01 11 17       27.0
2014 01 11 18       27.0
2014 01 11 19       27.0
2014 01 11 20       28.0
2014 01 11 21       28.0
2014 01 11 22       27.0
2014 01 11 23       27.0
2014 01 12 00       29.0
2014 01 12 01       28.0
2014 01 12 02       27.0
2014 01 12 03       25.0
2014 01 12 04    -9999.0
2014 01 12 05       19.0
2014 01 12 06       18.0
2014 01 12 07       18.0
2014 01 12 08       18.0
2014 01 12 09       18.0
2014 01 12 10       18.0
2014 01 12 11       19.0
2014 01 12 12       17.0
2014 01 12 13       15.0
2014 01 12 14       13.0
2014 01 12 15       15.0
2014 01 12 16       17.0
2014 01 12 17       16.0
2014 01 12 18       17.0
2014 01 12 19       16.0
2014 01 12 20       17.0
2014 01 12 21       20.0
2014 01 12 22       17.0
2014 01 12 23       13.0
2014 01 13 00       12.0
2014 01 13 01       13.0
2014 01 13 02       12.0
2014 01 13 03       10.0
2014 01 13 04    -9999.0
2014 01 13 05       10.0
2014 01 13 06        9.0
2014 01 13 07       12.0
2014 01 13 08       15.0
2014 01 13 09       20.0
2014 01 13 10       15.0
2014 01 13 11       14.0
2014 01 13 12       15.0
2014 01 13 13       19.0
2014 01 13 14       22.0
2014 01 13 15       23.0
2014 01 13 16       22.0
2014 01 13 17       24.0
2014 01 13 18       27.0
2014 01 13 19       28.0
2014 01 13 20       29.0
2014 01 13 21       28.0
2014 01 13 22       24.0
2014 01 13 23       20.0
2014 01 14 00       20.0
2014 01 14 01       20.0
2014 01 14 02       23.0
2014 01 14 03       20.0
2014 01 14 04    -9999.0
2014 01 14 05       20.0
2014 01 14 06       18.0
2014 01 14 07       17.0
2014 01 14 08       28.0
2014 01 14 09       33.0
2014 01 14 10       28.0
2014 01 14 11       22.0
2014 01 14 12       17.0
2014 01 14 13       29.0
2014 01 14 14       24.0
2014 01 14 15       32.0
2014 01 14 16       41.0
2014 01 14 17       32.0
2014 01 14 18       25.0
2014 01 14 19       26.0
2014 01 14 20       25.0
2014 01 14 21       25.0
2014 01 14 22       26.0
2014 01 14 23       25.0
2014 01 15 00       25.0
2014 01 15 01       26.0
2014 01 15 02       24.0
2014 01 15 03       23.0
2014 01 15 04    -9999.0
2014 01 15 05       22.0
2014 01 15 06       22.0
2014 01 15 07       22.0
2014 01 15 08       23.0
2014 01 15 09       25.0
2014 01 15 10       20.0
2014 01 15 11       17.0
2014 01 15 12       17.0
2014 01 15 13       17.0
2014 01 15 14       18.0
2014 01 15 15       20.0
2014 01 15 16       23.0
2014 01 15 17       24.0
2014 01 15 18       24.0
2014 01 15 19       28.0
2014 01 15 20       27.0
2014 01 15 21       24.0
2014 01 15 22       23.0
2014 01 15 23       24.0
2014 01 16 00       21.0
2014 01 16 01       22.0
2014 01 16 02       20.0
2014 01 16 03       16.0
2014 01 16 04    -9999.0
2014 01 16 05       11.0
2014 01 16 06       12.0
2014 01 16 07       14.0
2014 01 16 08       15.0
2014 01 16 09       16.0
2014 01 16 10       17.0
2014 01 16 11       18.0
2014 01 16 12       20.0
2014 01 16 13       22.0
2014 01 16 14       24.0
2014 01 16 15       24.0
2014 01 16 16       26.0
2014 01 16 17       24.0
2014 01 16 18       28.0
2014 01 16 19       30.0
2014 01 16 20       29.0
2014 01 16 21       30.0
2014 01 16 22       28.0
2014 01 16 23       23.0
2014 01 17 00       23.0
2014 01 17 01       21.0
2014 01 17 02       21.0
2014 01 17 03       20.0
2014 01 17 04    -9999.0
2014 01 17 05       11.0
2014 01 17 06       14.0
2014 01 17 07       15.0
2014 01 17 08       24.0
2014 01 17 09       43.0
2014 01 17 10       47.0
2014 01 17 11       33.0
2014 01 17 12       44.0
2014 01 17 13       41.0
2014 01 17 14       27.0
2014 01 17 15       18.0
2014 01 17 16       25.0
2014 01 17 17       23.0
2014 01 17 18       25.0
2014 01 17 19       25.0
2014 01 17 20       26.0
2014 01 17 21       26.0
2014 01 17 22       27.0
2014 01 17 23       28.0
2014 01 18 00       28.0
2014 01 18 01       28.0
2014 01 18 02       28.0
2014 01 18 03       28.0
2014 01 18 04    -9999.0
2014 01 18 05       27.0
2014 01 18 06       27.0
2014 01 18 07       27.0
2014 01 18 08       26.0
2014 01 18 09       27.0
2014 01 18 10       27.0
2014 01 18 11       26.0
2014 01 18 12       26.0
2014 01 18 13       27.0
2014 01 18 14       27.0
2014 01 18 15       26.0
2014 01 18 16       27.0
2014 01 18 17       28.0
2014 01 18 18       29.0
2014 01 18 19       28.0
2014 01 18 20       28.0
2014 01 18 21       28.0
2014 01 18 22       27.0
2014 01 18 23       25.0
2014 01 19 00       25.0
2014 01 19 01       25.0
2014 01 19 02       24.0
2014 01 19 03       25.0
2014 01 19 04    -9999.0
2014 01 19 05       25.0
2014 01 19 06       25.0
2014 01 19 07       25.0
2014 01 19 08       23.0
2014 01 19 09       21.0
2014 01 19 10       22.0
2014 01 19 11       24.0
2014 01 19 12       25.0
2014 01 19 13       26.0
2014 01 19 14       25.0
2014 01 19 15       25.0
2014 01 19 16       25.0
2014 01 19 17       27.0
2014 01 19 18       27.0
2014 01 19 19       25.0
2014 01 19 20       27.0
2014 01 19 21       27.0
2014 01 19 22       26.0
2014 01 19 23       26.0
2014 01 20 00       24.0
2014 01 20 01       24.0
