med.orarie NO2 [ug/m3] staz.** S. LAZZARO

aaaa mm gg hh        NO2
2014 01 11 03       28.7
2014 01 11 04       26.3
2014 01 11 05       22.3
2014 01 11 06       24.8
2014 01 11 07       23.3
2014 01 11 08       21.0
2014 01 11 09       22.7
2014 01 11 10       30.6
2014 01 11 11       32.1
2014 01 11 12       35.2
2014 01 11 13       35.9
2014 01 11 14       36.7
2014 01 11 15       37.5
2014 01 11 16       37.5
2014 01 11 17       38.0
2014 01 11 18       38.7
2014 01 11 19       36.8
2014 01 11 20       35.9
2014 01 11 21       38.6
2014 01 11 22       37.3
2014 01 11 23       34.0
2014 01 12 00       28.0
2014 01 12 01       24.9
2014 01 12 02       22.0
2014 01 12 03       20.3
2014 01 12 04       20.2
2014 01 12 05       17.8
2014 01 12 06       16.9
2014 01 12 07       17.9
2014 01 12 08       19.1
2014 01 12 09       19.7
2014 01 12 10       17.9
2014 01 12 11       20.9
2014 01 12 12       18.1
2014 01 12 13       17.3
2014 01 12 14       21.0
2014 01 12 15       21.1
2014 01 12 16       17.5
2014 01 12 17       15.6
2014 01 12 18       16.5
2014 01 12 19       16.3
2014 01 12 20       18.4
2014 01 12 21       17.3
2014 01 12 22       24.0
2014 01 12 23       24.7
2014 01 13 00       27.6
2014 01 13 01       26.3
2014 01 13 02       31.0
2014 01 13 03       29.0
2014 01 13 04       29.7
2014 01 13 05       28.1
2014 01 13 06       28.4
2014 01 13 07       28.4
2014 01 13 08       29.1
2014 01 13 09       29.8
2014 01 13 10       29.0
2014 01 13 11       27.2
2014 01 13 12       27.0
2014 01 13 13       26.3
2014 01 13 14       27.8
2014 01 13 15       27.2
2014 01 13 16       29.3
2014 01 13 17       31.9
2014 01 13 18       34.1
2014 01 13 19       31.4
2014 01 13 20       34.0
2014 01 13 21       30.9
2014 01 13 22       27.9
2014 01 13 23       23.1
2014 01 14 00       23.3
2014 01 14 01       22.0
2014 01 14 02       18.2
2014 01 14 03       13.3
2014 01 14 04       13.1
2014 01 14 05       15.0
2014 01 14 06       17.5
2014 01 14 07       18.0
2014 01 14 08       18.7
2014 01 14 09       23.3
2014 01 14 10       26.1
2014 01 14 11       26.4
2014 01 14 12       26.5
2014 01 14 13       32.8
2014 01 14 14       30.9
2014 01 14 15       28.9
2014 01 14 16       28.5
2014 01 14 17       30.8
2014 01 14 18       32.5
2014 01 14 19       34.8
2014 01 14 20       32.1
2014 01 14 21       32.7
2014 01 14 22       31.9
2014 01 14 23       34.2
2014 01 15 00       30.5
2014 01 15 01       23.6
2014 01 15 02       22.3
2014 01 15 03       20.6
2014 01 15 04       18.2
2014 01 15 05       19.8
2014 01 15 06       26.6
2014 01 15 07       27.3
2014 01 15 08       27.5
2014 01 15 09       25.9
2014 01 15 10       21.3
2014 01 15 11       16.8
2014 01 15 12       17.7
2014 01 15 13       20.1
2014 01 15 14       18.3
2014 01 15 15       18.3
2014 01 15 16       19.4
2014 01 15 17       24.2
2014 01 15 18       29.0
2014 01 15 19       30.3
2014 01 15 20       34.5
2014 01 15 21       32.4
2014 01 15 22       29.2
2014 01 15 23       30.1
2014 01 16 00       26.1
2014 01 16 01       22.7
2014 01 16 02       17.7
2014 01 16 03       15.7
2014 01 16 04       21.8
2014 01 16 05       24.6
2014 01 16 06       21.1
2014 01 16 07       26.8
2014 01 16 08       27.9
2014 01 16 09       28.5
2014 01 16 10       30.1
2014 01 16 11       34.7
2014 01 16 12       35.4
2014 01 16 13       30.8
2014 01 16 14       30.2
2014 01 16 15       28.8
2014 01 16 16       29.2
2014 01 16 17       29.3
2014 01 16 18       28.2
2014 01 16 19       28.9
2014 01 16 20       28.6
2014 01 16 21       27.4
2014 01 16 22       27.5
2014 01 16 23       26.7
2014 01 17 00       26.1
2014 01 17 01       24.6
2014 01 17 02       24.2
2014 01 17 03       21.6
2014 01 17 04       21.9
2014 01 17 05       21.5
2014 01 17 06       20.4
2014 01 17 07       20.9
2014 01 17 08       23.9
2014 01 17 09       24.3
2014 01 17 10       24.2
2014 01 17 11       25.6
2014 01 17 12       30.6
2014 01 17 13       33.0
2014 01 17 14       33.0
2014 01 17 15       32.5
2014 01 17 16       36.3
2014 01 17 17       37.1
2014 01 17 18       37.5
2014 01 17 19       39.2
2014 01 17 20       37.4
2014 01 17 21       37.4
2014 01 17 22       36.7
2014 01 17 23       36.2
2014 01 18 00       35.7
2014 01 18 01       34.6
2014 01 18 02       32.8
2014 01 18 03       33.3
2014 01 18 04       33.6
2014 01 18 05       34.8
2014 01 18 06       34.4
2014 01 18 07       33.4
2014 01 18 08       33.1
2014 01 18 09       35.3
2014 01 18 10       35.5
2014 01 18 11       35.7
2014 01 18 12       36.7
2014 01 18 13       37.0
2014 01 18 14       34.6
2014 01 18 15       34.5
2014 01 18 16       33.9
2014 01 18 17       34.6
2014 01 18 18       34.1
2014 01 18 19       33.5
2014 01 18 20       32.0
2014 01 18 21       31.6
2014 01 18 22       31.1
2014 01 18 23       32.9
2014 01 19 00       34.3
2014 01 19 01       32.5
2014 01 19 02       31.3
2014 01 19 03       32.0
2014 01 19 04       32.8
2014 01 19 05       32.6
2014 01 19 06       31.2
2014 01 19 07       29.2
2014 01 19 08       29.6
2014 01 19 09       29.6
2014 01 19 10       28.5
