med.orarie NO2 [ug/m3] staz.** PARCO EDILCARANI

aaaa mm gg hh        NO2
2014 01 11 03       33.0
2014 01 11 04       29.0
2014 01 11 05       34.0
2014 01 11 06       34.0
2014 01 11 07       31.0
2014 01 11 08       28.0
2014 01 11 09       32.0
2014 01 11 10       32.0
2014 01 11 11       36.0
2014 01 11 12       34.0
2014 01 11 13       33.0
2014 01 11 14       34.0
2014 01 11 15       36.0
2014 01 11 16       38.0
2014 01 11 17       40.0
2014 01 11 18       42.0
2014 01 11 19       43.0
2014 01 11 20       49.0
2014 01 11 21       51.0
2014 01 11 22       47.0
2014 01 11 23       40.0
2014 01 12 00       32.0
2014 01 12 01       28.0
2014 01 12 02       24.0
2014 01 12 03       21.0
2014 01 12 04       21.0
2014 01 12 05       21.0
2014 01 12 06       20.0
2014 01 12 07       15.0
2014 01 12 08       16.0
2014 01 12 09       15.0
2014 01 12 10       16.0
2014 01 12 11       16.0
2014 01 12 12       13.0
2014 01 12 13       18.0
2014 01 12 14       20.0
2014 01 12 15       25.0
2014 01 12 16       22.0
2014 01 12 17       26.0
2014 01 12 18       35.0
2014 01 12 19       37.0
2014 01 12 20       35.0
2014 01 12 21       31.0
2014 01 12 22       29.0
2014 01 12 23       28.0
2014 01 13 00       26.0
2014 01 13 01       24.0
2014 01 13 02       23.0
2014 01 13 03       22.0
2014 01 13 04       19.0
2014 01 13 05       17.0
2014 01 13 06       17.0
2014 01 13 07       18.0
2014 01 13 08       24.0
2014 01 13 09       27.0
2014 01 13 10       27.0
2014 01 13 11       31.0
2014 01 13 12       33.0
2014 01 13 13       32.0
2014 01 13 14       34.0
2014 01 13 15       36.0
2014 01 13 16       34.0
2014 01 13 17       37.0
2014 01 13 18       42.0
2014 01 13 19       39.0
2014 01 13 20       41.0
2014 01 13 21       37.0
2014 01 13 22       35.0
2014 01 13 23       32.0
2014 01 14 00       32.0
2014 01 14 01       34.0
2014 01 14 02       32.0
2014 01 14 03       25.0
2014 01 14 04       27.0
2014 01 14 05       27.0
2014 01 14 06       28.0
2014 01 14 07       29.0
2014 01 14 08       31.0
2014 01 14 09       32.0
2014 01 14 10       31.0
2014 01 14 11       26.0
2014 01 14 12       27.0
2014 01 14 13       25.0
2014 01 14 14       29.0
2014 01 14 15       28.0
2014 01 14 16       30.0
2014 01 14 17       34.0
2014 01 14 18       34.0
2014 01 14 19       36.0
2014 01 14 20       38.0
2014 01 14 21       35.0
2014 01 14 22       37.0
