med.orarie NO2 [ug/m3] staz.** OSTELLATO

aaaa mm gg hh        NO2
2014 01 11 02       28.0
2014 01 11 03    -9999.0
2014 01 11 04       29.0
2014 01 11 05       24.0
2014 01 11 06       21.0
2014 01 11 07       18.0
2014 01 11 08       21.0
2014 01 11 09       26.0
2014 01 11 10       34.0
2014 01 11 11       38.0
2014 01 11 12       40.0
2014 01 11 13       42.0
2014 01 11 14       41.0
2014 01 11 15       42.0
2014 01 11 16       44.0
2014 01 11 17       43.0
2014 01 11 18       42.0
2014 01 11 19       41.0
2014 01 11 20       41.0
2014 01 11 21       40.0
2014 01 11 22       44.0
2014 01 11 23       42.0
2014 01 12 00       37.0
2014 01 12 01       36.0
2014 01 12 02       34.0
2014 01 12 03    -9999.0
2014 01 12 04       29.0
2014 01 12 05       29.0
2014 01 12 06       30.0
2014 01 12 07       39.0
2014 01 12 08       39.0
2014 01 12 09       37.0
2014 01 12 10       34.0
2014 01 12 11       30.0
2014 01 12 12       25.0
2014 01 12 13       26.0
2014 01 12 14       25.0
2014 01 12 15       27.0
2014 01 12 16       25.0
2014 01 12 17       36.0
2014 01 12 18       29.0
2014 01 12 19       38.0
2014 01 12 20       38.0
2014 01 12 21       42.0
2014 01 12 22       43.0
2014 01 12 23       46.0
2014 01 13 00       44.0
2014 01 13 01       44.0
2014 01 13 02       43.0
2014 01 13 03    -9999.0
2014 01 13 04       37.0
2014 01 13 05       31.0
2014 01 13 06       27.0
2014 01 13 07       29.0
2014 01 13 08       32.0
2014 01 13 09       33.0
2014 01 13 10       29.0
2014 01 13 11       29.0
2014 01 13 12       30.0
2014 01 13 13       27.0
2014 01 13 14       24.0
2014 01 13 15       22.0
2014 01 13 16       21.0
2014 01 13 17       25.0
2014 01 13 18       29.0
2014 01 13 19       37.0
2014 01 13 20       29.0
2014 01 13 21       31.0
2014 01 13 22       26.0
2014 01 13 23       21.0
2014 01 14 00       23.0
2014 01 14 01       28.0
2014 01 14 02       25.0
2014 01 14 03    -9999.0
2014 01 14 04       12.0
2014 01 14 05        9.0
2014 01 14 06       16.0
