med.orarie NO2 [ug/m3] staz.** CORTE BRUGNATELLA

aaaa mm gg hh        NO2
2014 01 11 01        7.0
2014 01 11 02        9.0
2014 01 11 03    -9999.0
2014 01 11 04        7.0
2014 01 11 05        7.0
2014 01 11 06        6.0
2014 01 11 07        3.0
2014 01 11 08        3.0
2014 01 11 09        4.0
2014 01 11 10        5.0
2014 01 11 11        5.0
2014 01 11 12        5.0
2014 01 11 13        4.0
2014 01 11 14        5.0
2014 01 11 15        6.0
2014 01 11 16       10.0
2014 01 11 17       11.0
2014 01 11 18       10.0
2014 01 11 19       11.0
2014 01 11 20        8.0
2014 01 11 21        5.0
2014 01 11 22        6.0
2014 01 11 23        6.0
2014 01 12 00        4.0
2014 01 12 01        3.0
2014 01 12 02        1.0
2014 01 12 03    -9999.0
2014 01 12 04        6.0
2014 01 12 05        3.0
2014 01 12 06        3.0
2014 01 12 07        3.0
2014 01 12 08        4.0
2014 01 12 09        3.0
2014 01 12 10        2.0
2014 01 12 11        1.0
2014 01 12 12        1.0
2014 01 12 13        1.0
2014 01 12 14        1.0
2014 01 12 15        1.0
2014 01 12 16        2.0
2014 01 12 17        2.0
2014 01 12 18        2.0
2014 01 12 19        4.0
2014 01 12 20        5.0
2014 01 12 21        8.0
2014 01 12 22        6.0
2014 01 12 23        7.0
2014 01 13 00        6.0
2014 01 13 01        4.0
2014 01 13 02        1.0
2014 01 13 03    -9999.0
2014 01 13 04        3.0
2014 01 13 05        2.0
2014 01 13 06        3.0
2014 01 13 07        6.0
2014 01 13 08        2.0
2014 01 13 09        3.0
2014 01 13 10        6.0
2014 01 13 11       11.0
2014 01 13 12       15.0
2014 01 13 13       16.0
2014 01 13 14       17.0
2014 01 13 15       17.0
2014 01 13 16       19.0
2014 01 13 17       22.0
2014 01 13 18       25.0
2014 01 13 19       26.0
2014 01 13 20       26.0
2014 01 13 21       26.0
2014 01 13 22       26.0
2014 01 13 23       26.0
2014 01 14 00       27.0
2014 01 14 01       30.0
2014 01 14 02       30.0
2014 01 14 03    -9999.0
2014 01 14 04       30.0
2014 01 14 05       29.0
2014 01 14 06       27.0
2014 01 14 07       27.0
2014 01 14 08       31.0
2014 01 14 09       28.0
2014 01 14 10       26.0
2014 01 14 11       25.0
2014 01 14 12       22.0
2014 01 14 13       20.0
2014 01 14 14       21.0
2014 01 14 15       24.0
2014 01 14 16       23.0
2014 01 14 17       20.0
2014 01 14 18       21.0
2014 01 14 19       20.0
2014 01 14 20       16.0
2014 01 14 21        9.0
2014 01 14 22        6.0
2014 01 14 23        5.0
2014 01 15 00        5.0
2014 01 15 01        6.0
2014 01 15 02        5.0
2014 01 15 03    -9999.0
2014 01 15 04        4.0
2014 01 15 05        2.0
2014 01 15 06        2.0
2014 01 15 07        2.0
2014 01 15 08        2.0
2014 01 15 09        2.0
2014 01 15 10        2.0
2014 01 15 11        2.0
2014 01 15 12        2.0
2014 01 15 13        3.0
2014 01 15 14        3.0
2014 01 15 15        3.0
2014 01 15 16        3.0
2014 01 15 17        4.0
2014 01 15 18        5.0
2014 01 15 19        7.0
2014 01 15 20        4.0
2014 01 15 21        3.0
2014 01 15 22        3.0
2014 01 15 23        2.0
2014 01 16 00        2.0
2014 01 16 01        1.0
2014 01 16 02        2.0
2014 01 16 03    -9999.0
2014 01 16 04        4.0
2014 01 16 05        3.0
2014 01 16 06        6.0
2014 01 16 07        3.0
2014 01 16 08        2.0
2014 01 16 09        2.0
2014 01 16 10        1.0
2014 01 16 11        1.0
2014 01 16 12        1.0
2014 01 16 13        2.0
2014 01 16 14        3.0
2014 01 16 15        4.0
2014 01 16 16        4.0
2014 01 16 17        5.0
2014 01 16 18        9.0
2014 01 16 19       16.0
2014 01 16 20       19.0
2014 01 16 21       19.0
2014 01 16 22       20.0
2014 01 16 23       18.0
2014 01 17 00       18.0
2014 01 17 01       27.0
2014 01 17 02       28.0
2014 01 17 03    -9999.0
2014 01 17 04       30.0
2014 01 17 05       30.0
2014 01 17 06       31.0
2014 01 17 07       30.0
2014 01 17 08       29.0
2014 01 17 09       29.0
2014 01 17 10       29.0
2014 01 17 11       28.0
2014 01 17 12       28.0
2014 01 17 13       28.0
2014 01 17 14       27.0
2014 01 17 15       27.0
2014 01 17 16       28.0
2014 01 17 17       30.0
2014 01 17 18       31.0
2014 01 17 19       30.0
2014 01 17 20       30.0
2014 01 17 21       29.0
2014 01 17 22       30.0
2014 01 17 23       30.0
2014 01 18 00       30.0
2014 01 18 01       30.0
2014 01 18 02       30.0
2014 01 18 03    -9999.0
2014 01 18 04       33.0
2014 01 18 05       33.0
2014 01 18 06       34.0
2014 01 18 07       34.0
2014 01 18 08       34.0
2014 01 18 09       31.0
2014 01 18 10       29.0
2014 01 18 11       29.0
2014 01 18 12       29.0
2014 01 18 13       31.0
2014 01 18 14       29.0
2014 01 18 15       29.0
2014 01 18 16       30.0
2014 01 18 17       31.0
2014 01 18 18       32.0
2014 01 18 19       31.0
2014 01 18 20       30.0
2014 01 18 21       31.0
2014 01 18 22       30.0
2014 01 18 23       29.0
2014 01 19 00       27.0
2014 01 19 01       28.0
2014 01 19 02       28.0
2014 01 19 03    -9999.0
2014 01 19 04       29.0
2014 01 19 05       27.0
2014 01 19 06       27.0
2014 01 19 07       26.0
2014 01 19 08       26.0
2014 01 19 09       27.0
2014 01 19 10       24.0
2014 01 19 11       22.0
2014 01 19 12       21.0
2014 01 19 13       23.0
2014 01 19 14       25.0
2014 01 19 15       26.0
2014 01 19 16       23.0
2014 01 19 17       23.0
2014 01 19 18       22.0
2014 01 19 19       20.0
2014 01 19 20       16.0
2014 01 19 21       12.0
2014 01 19 22       11.0
2014 01 19 23       12.0
2014 01 20 00       10.0
2014 01 20 01        7.0
2014 01 20 02        7.0
2014 01 20 03    -9999.0
2014 01 20 04       11.0
2014 01 20 05        8.0
2014 01 20 06        7.0
2014 01 20 07        8.0
2014 01 20 08       10.0
2014 01 20 09       10.0
2014 01 20 10        9.0
2014 01 20 11        5.0
2014 01 20 12        5.0
2014 01 20 13        5.0
2014 01 20 14        5.0
2014 01 20 15        6.0
2014 01 20 16        7.0
2014 01 20 17        8.0
2014 01 20 18        8.0
2014 01 20 19        7.0
2014 01 20 20       10.0
2014 01 20 21       10.0
2014 01 20 22        8.0
2014 01 20 23        4.0
2014 01 21 00        2.0
2014 01 21 01        4.0
2014 01 21 02        3.0
2014 01 21 03    -9999.0
2014 01 21 04        6.0
2014 01 21 05        7.0
2014 01 21 06        9.0
2014 01 21 07        8.0
2014 01 21 08        8.0
2014 01 21 09        7.0
2014 01 21 10        4.0
2014 01 21 11        2.0
2014 01 21 12        2.0
2014 01 21 13        3.0
2014 01 21 14        3.0
2014 01 21 15        3.0
2014 01 21 16        3.0
2014 01 21 17        3.0
2014 01 21 18        4.0
2014 01 21 19        5.0
2014 01 21 20        2.0
2014 01 21 21        1.0
2014 01 21 22        1.0
2014 01 21 23        1.0
2014 01 22 00        2.0
2014 01 22 01        2.0
2014 01 22 02        2.0
2014 01 22 03    -9999.0
2014 01 22 04        3.0
2014 01 22 05        2.0
2014 01 22 06        2.0
2014 01 22 07        1.0
2014 01 22 08        1.0
2014 01 22 09        1.0
2014 01 22 10        1.0
2014 01 22 11    -9999.0
2014 01 22 12    -9999.0
2014 01 22 13        3.0
2014 01 22 14        2.0
2014 01 22 15        2.0
2014 01 22 16        2.0
2014 01 22 17        2.0
2014 01 22 18        3.0
2014 01 22 19        3.0
2014 01 22 20        2.0
2014 01 22 21        2.0
2014 01 22 22        2.0
2014 01 22 23        2.0
2014 01 23 00        1.0
2014 01 23 01        1.0
2014 01 23 02        1.0
2014 01 23 03    -9999.0
2014 01 23 04        3.0
2014 01 23 05        2.0
2014 01 23 06        1.0
2014 01 23 07        1.0
2014 01 23 08        1.0
2014 01 23 09        1.0
2014 01 23 10        1.0
2014 01 23 11        1.0
2014 01 23 12        2.0
2014 01 23 13        2.0
2014 01 23 14       37.0
2014 01 23 15       25.0
2014 01 23 16       17.0
2014 01 23 17       18.0
2014 01 23 18       19.0
2014 01 23 19       18.0
2014 01 23 20       17.0
2014 01 23 21       17.0
2014 01 23 22       17.0
2014 01 23 23       16.0
2014 01 24 00       13.0
2014 01 24 01       15.0
2014 01 24 02       12.0
2014 01 24 03    -9999.0
2014 01 24 04        8.0
2014 01 24 05        5.0
2014 01 24 06        4.0
2014 01 24 07        5.0
2014 01 24 08        4.0
2014 01 24 09        7.0
2014 01 24 10        5.0
2014 01 24 11        7.0
2014 01 24 12        7.0
2014 01 24 13        5.0
2014 01 24 14        6.0
2014 01 24 15        7.0
2014 01 24 16        7.0
2014 01 24 17        8.0
2014 01 24 18        9.0
2014 01 24 19       10.0
2014 01 24 20       11.0
2014 01 24 21        9.0
2014 01 24 22        8.0
2014 01 24 23       13.0
2014 01 25 00       22.0
2014 01 25 01       19.0
2014 01 25 02       12.0
2014 01 25 03    -9999.0
2014 01 25 04        9.0
2014 01 25 05        6.0
2014 01 25 06        6.0
2014 01 25 07        3.0
2014 01 25 08        2.0
2014 01 25 09        3.0
2014 01 25 10        2.0
2014 01 25 11        2.0
2014 01 25 12        1.0
2014 01 25 13        1.0
2014 01 25 14        1.0
2014 01 25 15        1.0
2014 01 25 16        2.0
2014 01 25 17        3.0
2014 01 25 18        3.0
2014 01 25 19        7.0
2014 01 25 20        3.0
2014 01 25 21        3.0
2014 01 25 22        2.0
2014 01 25 23        3.0
2014 01 26 00        3.0
2014 01 26 01        2.0
2014 01 26 02        1.0
2014 01 26 03    -9999.0
2014 01 26 04        1.0
2014 01 26 05        0.0
2014 01 26 06        2.0
2014 01 26 07        3.0
2014 01 26 08        5.0
2014 01 26 09        7.0
2014 01 26 10        4.0
2014 01 26 11        4.0
2014 01 26 12        4.0
2014 01 26 13        5.0
2014 01 26 14        4.0
2014 01 26 15        4.0
2014 01 26 16        4.0
2014 01 26 17        2.0
2014 01 26 18        2.0
2014 01 26 19        2.0
2014 01 26 20        1.0
2014 01 26 21        0.0
2014 01 26 22        1.0
2014 01 26 23        1.0
2014 01 27 00        1.0
2014 01 27 01        1.0
2014 01 27 02        1.0
2014 01 27 03    -9999.0
2014 01 27 04        6.0
2014 01 27 05        8.0
2014 01 27 06        6.0
2014 01 27 07        5.0
2014 01 27 08        5.0
2014 01 27 09        6.0
2014 01 27 10        5.0
2014 01 27 11        6.0
2014 01 27 12        9.0
2014 01 27 13       11.0
2014 01 27 14       12.0
2014 01 27 15       13.0
2014 01 27 16       13.0
2014 01 27 17       13.0
2014 01 27 18       13.0
2014 01 27 19       14.0
2014 01 27 20       13.0
2014 01 27 21       12.0
2014 01 27 22       13.0
2014 01 27 23       12.0
2014 01 28 00        9.0
2014 01 28 01       10.0
2014 01 28 02        6.0
2014 01 28 03    -9999.0
2014 01 28 04        7.0
2014 01 28 05        6.0
2014 01 28 06        8.0
2014 01 28 07        7.0
2014 01 28 08       13.0
2014 01 28 09        8.0
