med.orarie NO2 [ug/m3] staz.** GHERARDI

aaaa mm gg hh        NO2
2014 01 10 07    -9999.0
2014 01 10 08    -9999.0
2014 01 10 09    -9999.0
2014 01 10 10    -9999.0
2014 01 10 11    -9999.0
2014 01 10 12    -9999.0
2014 01 10 13    -9999.0
2014 01 10 14    -9999.0
2014 01 10 15    -9999.0
2014 01 10 16    -9999.0
2014 01 10 17    -9999.0
2014 01 10 18    -9999.0
2014 01 10 19    -9999.0
2014 01 10 20    -9999.0
2014 01 10 21    -9999.0
2014 01 10 22    -9999.0
2014 01 10 23    -9999.0
2014 01 11 00    -9999.0
2014 01 11 01    -9999.0
2014 01 11 02    -9999.0
2014 01 11 03    -9999.0
2014 01 11 04    -9999.0
2014 01 11 05    -9999.0
2014 01 11 06    -9999.0
2014 01 11 07    -9999.0
2014 01 11 08    -9999.0
2014 01 11 09    -9999.0
2014 01 11 10    -9999.0
2014 01 11 11    -9999.0
2014 01 11 12    -9999.0
2014 01 11 13    -9999.0
2014 01 11 14    -9999.0
2014 01 11 15    -9999.0
2014 01 11 16    -9999.0
2014 01 11 17    -9999.0
2014 01 11 18    -9999.0
2014 01 11 19    -9999.0
2014 01 11 20    -9999.0
2014 01 11 21    -9999.0
2014 01 11 22    -9999.0
2014 01 11 23    -9999.0
2014 01 12 00    -9999.0
2014 01 12 01    -9999.0
2014 01 12 02    -9999.0
2014 01 12 03    -9999.0
2014 01 12 04    -9999.0
2014 01 12 05    -9999.0
2014 01 12 06    -9999.0
2014 01 12 07    -9999.0
2014 01 12 08    -9999.0
2014 01 12 09    -9999.0
2014 01 12 10    -9999.0
2014 01 12 11    -9999.0
2014 01 12 12    -9999.0
2014 01 12 13    -9999.0
2014 01 12 14    -9999.0
2014 01 12 15    -9999.0
2014 01 12 16    -9999.0
2014 01 12 17    -9999.0
2014 01 12 18    -9999.0
2014 01 12 19    -9999.0
2014 01 12 20    -9999.0
2014 01 12 21    -9999.0
2014 01 12 22    -9999.0
2014 01 12 23    -9999.0
2014 01 13 00    -9999.0
2014 01 13 01    -9999.0
2014 01 13 02    -9999.0
2014 01 13 03    -9999.0
2014 01 13 04    -9999.0
2014 01 13 05    -9999.0
2014 01 13 06    -9999.0
2014 01 13 07    -9999.0
2014 01 13 08    -9999.0
2014 01 13 09    -9999.0
2014 01 13 10    -9999.0
2014 01 13 11    -9999.0
2014 01 13 12    -9999.0
2014 01 13 13    -9999.0
2014 01 13 14    -9999.0
2014 01 13 15    -9999.0
2014 01 13 16    -9999.0
2014 01 13 17    -9999.0
2014 01 13 18    -9999.0
2014 01 13 19    -9999.0
2014 01 13 20    -9999.0
2014 01 13 21    -9999.0
2014 01 13 22    -9999.0
2014 01 13 23    -9999.0
2014 01 14 00    -9999.0
2014 01 14 01    -9999.0
2014 01 14 02    -9999.0
2014 01 14 03    -9999.0
2014 01 14 04    -9999.0
2014 01 14 05    -9999.0
2014 01 14 06    -9999.0
2014 01 14 07    -9999.0
2014 01 14 08    -9999.0
2014 01 14 09    -9999.0
2014 01 14 10    -9999.0
2014 01 14 11    -9999.0
2014 01 14 12    -9999.0
2014 01 14 13    -9999.0
2014 01 14 14    -9999.0
2014 01 14 15    -9999.0
2014 01 14 16    -9999.0
2014 01 14 17    -9999.0
2014 01 14 18    -9999.0
2014 01 14 19    -9999.0
2014 01 14 20    -9999.0
2014 01 14 21    -9999.0
2014 01 14 22    -9999.0
2014 01 14 23    -9999.0
2014 01 15 00    -9999.0
2014 01 15 01    -9999.0
2014 01 15 02    -9999.0
2014 01 15 03    -9999.0
2014 01 15 04    -9999.0
2014 01 15 05    -9999.0
2014 01 15 06    -9999.0
2014 01 15 07    -9999.0
2014 01 15 08    -9999.0
2014 01 15 09    -9999.0
2014 01 15 10    -9999.0
2014 01 15 11    -9999.0
2014 01 15 12    -9999.0
2014 01 15 13    -9999.0
2014 01 15 14    -9999.0
2014 01 15 15    -9999.0
2014 01 15 16    -9999.0
2014 01 15 17    -9999.0
2014 01 15 18    -9999.0
2014 01 15 19    -9999.0
2014 01 15 20    -9999.0
2014 01 15 21    -9999.0
2014 01 15 22    -9999.0
2014 01 15 23    -9999.0
2014 01 16 00    -9999.0
2014 01 16 01    -9999.0
2014 01 16 02    -9999.0
2014 01 16 03    -9999.0
2014 01 16 04    -9999.0
2014 01 16 05    -9999.0
2014 01 16 06    -9999.0
2014 01 16 07    -9999.0
2014 01 16 08    -9999.0
2014 01 16 09    -9999.0
2014 01 16 10    -9999.0
2014 01 16 11    -9999.0
2014 01 16 12    -9999.0
2014 01 16 13       29.0
2014 01 16 14       24.0
2014 01 16 15       25.0
2014 01 16 16       24.0
2014 01 16 17       19.0
2014 01 16 18       17.0
2014 01 16 19       15.0
2014 01 16 20       14.0
2014 01 16 21       18.0
2014 01 16 22       17.0
2014 01 16 23       17.0
2014 01 17 00       16.0
2014 01 17 01       16.0
2014 01 17 02       13.0
2014 01 17 03    -9999.0
2014 01 17 04        8.0
2014 01 17 05        8.0
2014 01 17 06       11.0
2014 01 17 07        6.0
2014 01 17 08        9.0
2014 01 17 09       10.0
2014 01 17 10        6.0
2014 01 17 11        6.0
2014 01 17 12        8.0
2014 01 17 13        5.0
2014 01 17 14        6.0
2014 01 17 15       13.0
2014 01 17 16       29.0
2014 01 17 17       34.0
2014 01 17 18       33.0
2014 01 17 19       29.0
2014 01 17 20       32.0
2014 01 17 21       35.0
2014 01 17 22       37.0
2014 01 17 23       39.0
2014 01 18 00       39.0
2014 01 18 01       38.0
2014 01 18 02       36.0
2014 01 18 03    -9999.0
2014 01 18 04       37.0
2014 01 18 05       38.0
2014 01 18 06       41.0
2014 01 18 07       43.0
2014 01 18 08       41.0
2014 01 18 09       40.0
2014 01 18 10       38.0
2014 01 18 11       38.0
2014 01 18 12       37.0
2014 01 18 13       40.0
2014 01 18 14       31.0
2014 01 18 15       31.0
2014 01 18 16       33.0
2014 01 18 17       36.0
2014 01 18 18       38.0
2014 01 18 19       37.0
2014 01 18 20       30.0
2014 01 18 21       30.0
2014 01 18 22       25.0
2014 01 18 23       29.0
2014 01 19 00       34.0
2014 01 19 01       30.0
2014 01 19 02       29.0
2014 01 19 03    -9999.0
2014 01 19 04       31.0
2014 01 19 05       31.0
2014 01 19 06       31.0
2014 01 19 07       30.0
2014 01 19 08       28.0
2014 01 19 09       27.0
2014 01 19 10       27.0
2014 01 19 11       26.0
2014 01 19 12       31.0
2014 01 19 13       26.0
2014 01 19 14       27.0
2014 01 19 15       30.0
2014 01 19 16       31.0
2014 01 19 17       30.0
2014 01 19 18       24.0
2014 01 19 19       25.0
2014 01 19 20       35.0
2014 01 19 21       33.0
2014 01 19 22       31.0
2014 01 19 23       31.0
2014 01 20 00       31.0
2014 01 20 01       31.0
2014 01 20 02       29.0
2014 01 20 03    -9999.0
2014 01 20 04       35.0
2014 01 20 05       27.0
2014 01 20 06       28.0
2014 01 20 07       28.0
2014 01 20 08       30.0
2014 01 20 09       27.0
2014 01 20 10       24.0
2014 01 20 11       27.0
2014 01 20 12       24.0
2014 01 20 13       27.0
2014 01 20 14       28.0
2014 01 20 15       24.0
2014 01 20 16       30.0
2014 01 20 17       28.0
2014 01 20 18       32.0
2014 01 20 19       37.0
2014 01 20 20       33.0
2014 01 20 21       36.0
2014 01 20 22       37.0
2014 01 20 23       35.0
2014 01 21 00       30.0
2014 01 21 01       32.0
2014 01 21 02       32.0
2014 01 21 03    -9999.0
2014 01 21 04       34.0
2014 01 21 05       32.0
2014 01 21 06       33.0
2014 01 21 07       33.0
2014 01 21 08       33.0
2014 01 21 09       32.0
2014 01 21 10    -9999.0
2014 01 21 11    -9999.0
2014 01 21 12    -9999.0
2014 01 21 13       22.0
2014 01 21 14       26.0
2014 01 21 15       30.0
2014 01 21 16       32.0
2014 01 21 17       32.0
2014 01 21 18       35.0
2014 01 21 19       36.0
2014 01 21 20       37.0
2014 01 21 21       38.0
2014 01 21 22       28.0
2014 01 21 23       25.0
2014 01 22 00       30.0
2014 01 22 01       28.0
2014 01 22 02       24.0
2014 01 22 03    -9999.0
2014 01 22 04       31.0
2014 01 22 05       30.0
2014 01 22 06       23.0
2014 01 22 07       23.0
2014 01 22 08       26.0
2014 01 22 09       31.0
2014 01 22 10       31.0
2014 01 22 11       28.0
2014 01 22 12       33.0
2014 01 22 13       36.0
2014 01 22 14       31.0
2014 01 22 15       30.0
2014 01 22 16       34.0
2014 01 22 17       39.0
2014 01 22 18       40.0
2014 01 22 19       38.0
2014 01 22 20       38.0
2014 01 22 21       32.0
2014 01 22 22       31.0
2014 01 22 23       28.0
2014 01 23 00       21.0
2014 01 23 01       25.0
2014 01 23 02       22.0
2014 01 23 03    -9999.0
2014 01 23 04       32.0
2014 01 23 05       33.0
2014 01 23 06       31.0
2014 01 23 07       31.0
2014 01 23 08       27.0
2014 01 23 09       24.0
2014 01 23 10       24.0
2014 01 23 11       28.0
2014 01 23 12       28.0
2014 01 23 13       23.0
2014 01 23 14       18.0
2014 01 23 15       21.0
2014 01 23 16       24.0
2014 01 23 17       25.0
2014 01 23 18       35.0
2014 01 23 19       30.0
2014 01 23 20       30.0
2014 01 23 21       28.0
2014 01 23 22       20.0
2014 01 23 23       21.0
2014 01 24 00       22.0
2014 01 24 01       21.0
2014 01 24 02       18.0
2014 01 24 03    -9999.0
2014 01 24 04       35.0
2014 01 24 05       35.0
2014 01 24 06       30.0
2014 01 24 07       34.0
2014 01 24 08       42.0
2014 01 24 09       37.0
2014 01 24 10       23.0
2014 01 24 11       25.0
2014 01 24 12       28.0
2014 01 24 13       23.0
2014 01 24 14       17.0
