med.orarie NO2 [ug/m3] staz.** SAN CLEMENTE

aaaa mm gg hh        NO2
2014 01 11 03       30.0
2014 01 11 04       34.0
2014 01 11 05       35.0
2014 01 11 06       34.0
2014 01 11 07       32.0
2014 01 11 08       32.0
2014 01 11 09       31.0
2014 01 11 10       25.0
2014 01 11 11       24.0
2014 01 11 12       25.0
2014 01 11 13       22.0
2014 01 11 14       21.0
2014 01 11 15       23.0
2014 01 11 16       28.0
2014 01 11 17       31.0
2014 01 11 18       32.0
2014 01 11 19       32.0
2014 01 11 20       32.0
2014 01 11 21       32.0
2014 01 11 22       30.0
2014 01 11 23       32.0
2014 01 12 00       34.0
2014 01 12 01       33.0
2014 01 12 02       31.0
2014 01 12 03       30.0
2014 01 12 04       28.0
2014 01 12 05       29.0
2014 01 12 06       28.0
2014 01 12 07       24.0
2014 01 12 08       22.0
2014 01 12 09       17.0
2014 01 12 10       16.0
2014 01 12 11       19.0
2014 01 12 12       22.0
2014 01 12 13       21.0
2014 01 12 14       22.0
2014 01 12 15       25.0
2014 01 12 16       26.0
2014 01 12 17       25.0
2014 01 12 18       26.0
2014 01 12 19       23.0
2014 01 12 20       19.0
2014 01 12 21       17.0
2014 01 12 22       15.0
2014 01 12 23       13.0
2014 01 13 00       12.0
2014 01 13 01       11.0
2014 01 13 02       10.0
2014 01 13 03        9.0
2014 01 13 04       10.0
2014 01 13 05       10.0
2014 01 13 06        8.0
2014 01 13 07        8.0
2014 01 13 08       15.0
2014 01 13 09       16.0
2014 01 13 10       15.0
2014 01 13 11       17.0
2014 01 13 12       16.0
2014 01 13 13       16.0
2014 01 13 14       17.0
2014 01 13 15       15.0
2014 01 13 16       15.0
2014 01 13 17       20.0
2014 01 13 18       27.0
2014 01 13 19       27.0
2014 01 13 20       22.0
2014 01 13 21       19.0
2014 01 13 22       14.0
2014 01 13 23       12.0
2014 01 14 00       23.0
2014 01 14 01       10.0
2014 01 14 02        6.0
2014 01 14 03        4.0
2014 01 14 04        5.0
2014 01 14 05        6.0
2014 01 14 06        8.0
2014 01 14 07       11.0
2014 01 14 08       15.0
2014 01 14 09        8.0
2014 01 14 10        8.0
2014 01 14 11        7.0
2014 01 14 12        6.0
2014 01 14 13        5.0
2014 01 14 14        5.0
2014 01 14 15        6.0
2014 01 14 16        9.0
2014 01 14 17        7.0
2014 01 14 18        6.0
2014 01 14 19        8.0
2014 01 14 20        9.0
2014 01 14 21       22.0
2014 01 14 22       29.0
2014 01 14 23       28.0
2014 01 15 00       30.0
2014 01 15 01       31.0
2014 01 15 02       30.0
2014 01 15 03       30.0
2014 01 15 04       28.0
2014 01 15 05       28.0
2014 01 15 06       27.0
2014 01 15 07       26.0
2014 01 15 08       25.0
2014 01 15 09       23.0
2014 01 15 10       19.0
2014 01 15 11       16.0
2014 01 15 12       14.0
2014 01 15 13       15.0
2014 01 15 14       21.0
2014 01 15 15       23.0
2014 01 15 16       25.0
2014 01 15 17       28.0
2014 01 15 18       31.0
2014 01 15 19       32.0
2014 01 15 20       32.0
2014 01 15 21       30.0
2014 01 15 22       28.0
2014 01 15 23       24.0
2014 01 16 00       22.0
2014 01 16 01       21.0
2014 01 16 02       19.0
2014 01 16 03       17.0
2014 01 16 04       16.0
2014 01 16 05       15.0
2014 01 16 06       16.0
2014 01 16 07       14.0
2014 01 16 08       14.0
2014 01 16 09       16.0
2014 01 16 10       17.0
2014 01 16 11       16.0
2014 01 16 12       14.0
2014 01 16 13        9.0
2014 01 16 14        6.0
2014 01 16 15        7.0
2014 01 16 16       13.0
2014 01 16 17       10.0
2014 01 16 18       10.0
2014 01 16 19       12.0
2014 01 16 20        9.0
2014 01 16 21        7.0
2014 01 16 22        7.0
2014 01 16 23        7.0
2014 01 17 00        6.0
2014 01 17 01        5.0
2014 01 17 02        4.0
2014 01 17 03        3.0
2014 01 17 04        3.0
2014 01 17 05        2.0
2014 01 17 06        4.0
2014 01 17 07        5.0
2014 01 17 08        6.0
2014 01 17 09       10.0
2014 01 17 10        6.0
2014 01 17 11        5.0
2014 01 17 12        4.0
2014 01 17 13        4.0
2014 01 17 14        4.0
2014 01 17 15        3.0
2014 01 17 16        4.0
2014 01 17 17        5.0
2014 01 17 18        7.0
2014 01 17 19        6.0
2014 01 17 20        6.0
2014 01 17 21        5.0
2014 01 17 22        5.0
2014 01 17 23       18.0
2014 01 18 00        9.0
2014 01 18 01       13.0
2014 01 18 02        4.0
2014 01 18 03       25.0
2014 01 18 04       25.0
2014 01 18 05       27.0
2014 01 18 06       28.0
2014 01 18 07       29.0
2014 01 18 08       29.0
2014 01 18 09       28.0
2014 01 18 10       28.0
2014 01 18 11       27.0
2014 01 18 12       28.0
2014 01 18 13       28.0
2014 01 18 14       32.0
2014 01 18 15       35.0
2014 01 18 16       34.0
2014 01 18 17       35.0
2014 01 18 18       35.0
2014 01 18 19       39.0
2014 01 18 20       22.0
2014 01 18 21       11.0
2014 01 18 22       11.0
2014 01 18 23       11.0
2014 01 19 00       11.0
2014 01 19 01       10.0
2014 01 19 02        7.0
2014 01 19 03        5.0
2014 01 19 04        6.0
2014 01 19 05        8.0
2014 01 19 06        9.0
2014 01 19 07        8.0
2014 01 19 08        7.0
2014 01 19 09        7.0
2014 01 19 10       17.0
2014 01 19 11       21.0
2014 01 19 12       26.0
2014 01 19 13       28.0
2014 01 19 14       26.0
2014 01 19 15       26.0
2014 01 19 16       28.0
2014 01 19 17       27.0
2014 01 19 18       28.0
2014 01 19 19       29.0
2014 01 19 20       29.0
2014 01 19 21       28.0
2014 01 19 22       21.0
2014 01 19 23       13.0
2014 01 20 00        8.0
2014 01 20 01        6.0
2014 01 20 02        4.0
2014 01 20 03        5.0
2014 01 20 04        2.0
2014 01 20 05        3.0
2014 01 20 06        3.0
2014 01 20 07        5.0
2014 01 20 08        8.0
2014 01 20 09        8.0
2014 01 20 10        6.0
2014 01 20 11        5.0
2014 01 20 12       26.0
2014 01 20 13       31.0
2014 01 20 14       30.0
2014 01 20 15       27.0
2014 01 20 16       29.0
2014 01 20 17       29.0
2014 01 20 18       28.0
2014 01 20 19       30.0
2014 01 20 20       30.0
2014 01 20 21       26.0
2014 01 20 22       28.0
2014 01 20 23       27.0
2014 01 21 00       25.0
2014 01 21 01       23.0
2014 01 21 02       23.0
2014 01 21 03       25.0
2014 01 21 04       25.0
2014 01 21 05       19.0
2014 01 21 06       15.0
2014 01 21 07       25.0
2014 01 21 08       32.0
2014 01 21 09       26.0
2014 01 21 10       20.0
2014 01 21 11       17.0
2014 01 21 12       15.0
2014 01 21 13       15.0
2014 01 21 14       18.0
2014 01 21 15       19.0
2014 01 21 16       23.0
2014 01 21 17       24.0
2014 01 21 18       22.0
2014 01 21 19       20.0
2014 01 21 20       18.0
2014 01 21 21       19.0
2014 01 21 22       18.0
2014 01 21 23       16.0
2014 01 22 00       15.0
2014 01 22 01       14.0
2014 01 22 02       12.0
2014 01 22 03       11.0
2014 01 22 04        6.0
2014 01 22 05        4.0
2014 01 22 06        4.0
2014 01 22 07        7.0
2014 01 22 08       12.0
2014 01 22 09       10.0
2014 01 22 10        9.0
2014 01 22 11        8.0
2014 01 22 12        5.0
2014 01 22 13        7.0
2014 01 22 14        7.0
2014 01 22 15       18.0
2014 01 22 16       16.0
2014 01 22 17       25.0
2014 01 22 18       30.0
2014 01 22 19       21.0
2014 01 22 20       16.0
2014 01 22 21       11.0
2014 01 22 22       10.0
2014 01 22 23        8.0
2014 01 23 00        7.0
2014 01 23 01        5.0
2014 01 23 02        4.0
2014 01 23 03        4.0
2014 01 23 04        4.0
2014 01 23 05        4.0
2014 01 23 06        4.0
2014 01 23 07        4.0
2014 01 23 08        7.0
2014 01 23 09        9.0
2014 01 23 10        6.0
2014 01 23 11        5.0
2014 01 23 12        9.0
2014 01 23 13       14.0
2014 01 23 14        7.0
2014 01 23 15        8.0
2014 01 23 16        8.0
2014 01 23 17       16.0
2014 01 23 18       26.0
2014 01 23 19       27.0
2014 01 23 20       32.0
2014 01 23 21       30.0
2014 01 23 22       16.0
2014 01 23 23       12.0
2014 01 24 00       20.0
2014 01 24 01       18.0
2014 01 24 02       12.0
2014 01 24 03       10.0
2014 01 24 04    -9999.0
2014 01 24 05       16.0
2014 01 24 06        9.0
2014 01 24 07        7.0
2014 01 24 08        5.0
2014 01 24 09        6.0
2014 01 24 10        6.0
2014 01 24 11        6.0
2014 01 24 12        7.0
2014 01 24 13        7.0
2014 01 24 14       11.0
2014 01 24 15       14.0
2014 01 24 16       15.0
2014 01 24 17       13.0
2014 01 24 18       14.0
2014 01 24 19       13.0
2014 01 24 20        6.0
2014 01 24 21        6.0
2014 01 24 22        3.0
2014 01 24 23        3.0
2014 01 25 00        3.0
2014 01 25 01        3.0
2014 01 25 02        3.0
2014 01 25 03        3.0
2014 01 25 04        2.0
2014 01 25 05        3.0
2014 01 25 06       12.0
2014 01 25 07       14.0
2014 01 25 08       17.0
2014 01 25 09       15.0
2014 01 25 10       12.0
2014 01 25 11       17.0
2014 01 25 12       13.0
2014 01 25 13        9.0
2014 01 25 14        1.0
2014 01 25 15        1.0
2014 01 25 16        2.0
2014 01 25 17       10.0
2014 01 25 18       16.0
2014 01 25 19       18.0
2014 01 25 20       17.0
2014 01 25 21       15.0
2014 01 25 22       17.0
2014 01 25 23       14.0
2014 01 26 00       11.0
2014 01 26 01        9.0
2014 01 26 02        9.0
2014 01 26 03        8.0
2014 01 26 04        6.0
2014 01 26 05        4.0
2014 01 26 06        4.0
2014 01 26 07        4.0
2014 01 26 08        6.0
2014 01 26 09        6.0
2014 01 26 10        8.0
2014 01 26 11        8.0
2014 01 26 12        7.0
2014 01 26 13       12.0
2014 01 26 14       10.0
2014 01 26 15        8.0
2014 01 26 16       10.0
2014 01 26 17       12.0
2014 01 26 18       21.0
2014 01 26 19       27.0
2014 01 26 20       25.0
2014 01 26 21       15.0
2014 01 26 22       11.0
2014 01 26 23        8.0
2014 01 27 00        7.0
2014 01 27 01        6.0
2014 01 27 02        5.0
2014 01 27 03        4.0
2014 01 27 04        3.0
2014 01 27 05        2.0
2014 01 27 06        2.0
2014 01 27 07        3.0
2014 01 27 08        4.0
2014 01 27 09        4.0
2014 01 27 10        3.0
2014 01 27 11        2.0
2014 01 27 12        4.0
2014 01 27 13        6.0
2014 01 27 14        8.0
2014 01 27 15       10.0
2014 01 27 16       18.0
2014 01 27 17       14.0
2014 01 27 18       20.0
2014 01 27 19       22.0
2014 01 27 20       24.0
2014 01 27 21       20.0
2014 01 27 22       16.0
2014 01 27 23       17.0
2014 01 28 00       15.0
2014 01 28 01       14.0
2014 01 28 02       11.0
2014 01 28 03       12.0
2014 01 28 04       12.0
2014 01 28 05        4.0
2014 01 28 06        2.0
2014 01 28 07        2.0
2014 01 28 08        3.0
2014 01 28 09        4.0
2014 01 28 10        5.0
2014 01 28 11        5.0
2014 01 28 12        6.0
2014 01 28 13        7.0
2014 01 28 14        8.0
2014 01 28 15        8.0
2014 01 28 16        6.0
2014 01 28 17        7.0
2014 01 28 18       10.0
2014 01 28 19       10.0
2014 01 28 20        9.0
2014 01 28 21        8.0
2014 01 28 22        6.0
2014 01 28 23        5.0
2014 01 29 00        4.0
2014 01 29 01        3.0
2014 01 29 02        4.0
2014 01 29 03        4.0
2014 01 29 04        4.0
2014 01 29 05        5.0
2014 01 29 06        6.0
2014 01 29 07        7.0
2014 01 29 08       10.0
2014 01 29 09       14.0
2014 01 29 10        7.0
2014 01 29 11        5.0
2014 01 29 12        4.0
2014 01 29 13        5.0
2014 01 29 14        5.0
2014 01 29 15        3.0
2014 01 29 16        7.0
2014 01 29 17        9.0
2014 01 29 18       12.0
2014 01 29 19       12.0
2014 01 29 20        9.0
2014 01 29 21        8.0
2014 01 29 22        5.0
2014 01 29 23        4.0
2014 01 30 00        4.0
2014 01 30 01        3.0
2014 01 30 02        4.0
2014 01 30 03        5.0
2014 01 30 04        4.0
2014 01 30 05        7.0
2014 01 30 06       12.0
2014 01 30 07       13.0
2014 01 30 08       14.0
2014 01 30 09       13.0
2014 01 30 10       15.0
2014 01 30 11       28.0
2014 01 30 12       29.0
2014 01 30 13       31.0
2014 01 30 14       21.0
2014 01 30 15       20.0
2014 01 30 16       28.0
2014 01 30 17       27.0
2014 01 30 18       25.0
2014 01 30 19       27.0
2014 01 30 20       24.0
2014 01 30 21       16.0
2014 01 30 22       10.0
2014 01 30 23       12.0
2014 01 31 00       12.0
2014 01 31 01        9.0
2014 01 31 02        9.0
2014 01 31 03        8.0
2014 01 31 04        6.0
2014 01 31 05        5.0
2014 01 31 06        4.0
2014 01 31 07        4.0
2014 01 31 08        6.0
2014 01 31 09        4.0
2014 01 31 10        5.0
2014 01 31 11        3.0
2014 01 31 12        5.0
2014 01 31 13       22.0
2014 01 31 14       27.0
2014 01 31 15       30.0
2014 01 31 16       27.0
2014 01 31 17       30.0
2014 01 31 18       31.0
