med.orarie NO2 [ug/m3] staz.** MARECCHIA

aaaa mm gg hh        NO2
2014 01 10 14       33.0
2014 01 10 15       33.0
2014 01 10 16       33.0
2014 01 10 17       37.0
2014 01 10 18       40.0
2014 01 10 19       45.0
2014 01 10 20       43.0
2014 01 10 21       37.0
2014 01 10 22       32.0
2014 01 10 23       30.0
2014 01 11 00       29.0
2014 01 11 01       30.0
2014 01 11 02       30.0
2014 01 11 03       27.0
2014 01 11 04       28.0
2014 01 11 05       27.0
2014 01 11 06       23.0
2014 01 11 07       22.0
2014 01 11 08       22.0
2014 01 11 09       25.0
2014 01 11 10       30.0
2014 01 11 11       29.0
2014 01 11 12       27.0
2014 01 11 13       29.0
2014 01 11 14       32.0
2014 01 11 15       33.0
2014 01 11 16       34.0
2014 01 11 17       35.0
2014 01 11 18       36.0
2014 01 11 19       37.0
2014 01 11 20       38.0
2014 01 11 21       37.0
2014 01 11 22       37.0
2014 01 11 23       35.0
2014 01 12 00       34.0
2014 01 12 01       35.0
2014 01 12 02       35.0
2014 01 12 03       33.0
2014 01 12 04       33.0
2014 01 12 05       32.0
2014 01 12 06       33.0
2014 01 12 07       32.0
2014 01 12 08       27.0
2014 01 12 09       23.0
2014 01 12 10       23.0
2014 01 12 11       27.0
2014 01 12 12       28.0
2014 01 12 13       28.0
2014 01 12 14       26.0
2014 01 12 15       24.0
2014 01 12 16       22.0
2014 01 12 17       22.0
2014 01 12 18       23.0
2014 01 12 19       26.0
2014 01 12 20       27.0
2014 01 12 21       23.0
2014 01 12 22       21.0
2014 01 12 23       21.0
2014 01 13 00       20.0
2014 01 13 01       21.0
2014 01 13 02       21.0
2014 01 13 03       19.0
2014 01 13 04       17.0
2014 01 13 05       16.0
2014 01 13 06       16.0
2014 01 13 07       18.0
2014 01 13 08       20.0
2014 01 13 09       26.0
2014 01 13 10       27.0
2014 01 13 11       24.0
2014 01 13 12       23.0
2014 01 13 13       22.0
2014 01 13 14       20.0
2014 01 13 15       20.0
2014 01 13 16       21.0
2014 01 13 17       20.0
2014 01 13 18       22.0
2014 01 13 19       30.0
2014 01 13 20       26.0
2014 01 13 21       36.0
2014 01 13 22       37.0
2014 01 13 23       35.0
2014 01 14 00       33.0
2014 01 14 01       30.0
2014 01 14 02       28.0
2014 01 14 03       26.0
2014 01 14 04       26.0
2014 01 14 05       17.0
2014 01 14 06       15.0
2014 01 14 07       21.0
2014 01 14 08       28.0
2014 01 14 09       41.0
2014 01 14 10       45.0
2014 01 14 11       45.0
2014 01 14 12       44.0
2014 01 14 13       23.0
2014 01 14 14       16.0
2014 01 14 15       16.0
2014 01 14 16       27.0
2014 01 14 17       42.0
2014 01 14 18       43.0
2014 01 14 19       48.0
2014 01 14 20       37.0
2014 01 14 21       30.0
2014 01 14 22       29.0
2014 01 14 23       29.0
2014 01 15 00       28.0
2014 01 15 01       28.0
2014 01 15 02       27.0
2014 01 15 03       27.0
2014 01 15 04       28.0
2014 01 15 05       26.0
2014 01 15 06       25.0
2014 01 15 07       23.0
2014 01 15 08       26.0
2014 01 15 09       27.0
2014 01 15 10       31.0
2014 01 15 11       27.0
2014 01 15 12       25.0
2014 01 15 13       22.0
2014 01 15 14       20.0
2014 01 15 15    -9999.0
2014 01 15 16    -9999.0
2014 01 15 17    -9999.0
2014 01 15 18    -9999.0
2014 01 15 19    -9999.0
2014 01 15 20    -9999.0
2014 01 15 21    -9999.0
2014 01 15 22    -9999.0
2014 01 15 23    -9999.0
2014 01 16 00    -9999.0
2014 01 16 01    -9999.0
2014 01 16 02    -9999.0
2014 01 16 03    -9999.0
2014 01 16 04    -9999.0
2014 01 16 05    -9999.0
2014 01 16 06    -9999.0
2014 01 16 07    -9999.0
2014 01 16 08    -9999.0
2014 01 16 09    -9999.0
2014 01 16 10    -9999.0
2014 01 16 11    -9999.0
2014 01 16 12    -9999.0
2014 01 16 13    -9999.0
2014 01 16 14    -9999.0
2014 01 16 15    -9999.0
2014 01 16 16    -9999.0
2014 01 16 17    -9999.0
2014 01 16 18    -9999.0
2014 01 16 19    -9999.0
2014 01 16 20    -9999.0
2014 01 16 21    -9999.0
2014 01 16 22    -9999.0
2014 01 16 23    -9999.0
2014 01 17 00    -9999.0
2014 01 17 01    -9999.0
2014 01 17 02    -9999.0
2014 01 17 03    -9999.0
2014 01 17 04    -9999.0
2014 01 17 05    -9999.0
2014 01 17 06    -9999.0
2014 01 17 07    -9999.0
2014 01 17 08    -9999.0
2014 01 17 09    -9999.0
2014 01 17 10    -9999.0
2014 01 17 11    -9999.0
2014 01 17 12    -9999.0
2014 01 17 13    -9999.0
2014 01 17 14       12.0
2014 01 17 15       14.0
2014 01 17 16       16.0
2014 01 17 17       18.0
2014 01 17 18       22.0
2014 01 17 19       31.0
2014 01 17 20       36.0
2014 01 17 21       38.0
2014 01 17 22       34.0
2014 01 17 23       31.0
2014 01 18 00       30.0
2014 01 18 01       33.0
2014 01 18 02       35.0
2014 01 18 03       32.0
2014 01 18 04       36.0
2014 01 18 05       36.0
2014 01 18 06       38.0
2014 01 18 07       38.0
2014 01 18 08       37.0
2014 01 18 09       38.0
2014 01 18 10       40.0
2014 01 18 11       41.0
2014 01 18 12       44.0
2014 01 18 13       40.0
2014 01 18 14       37.0
2014 01 18 15       36.0
2014 01 18 16       38.0
2014 01 18 17       40.0
2014 01 18 18       40.0
2014 01 18 19       45.0
2014 01 18 20       52.0
2014 01 18 21       59.0
2014 01 18 22       57.0
2014 01 18 23       50.0
2014 01 19 00       38.0
2014 01 19 01       42.0
2014 01 19 02       50.0
2014 01 19 03       39.0
2014 01 19 04       31.0
2014 01 19 05       30.0
2014 01 19 06       29.0
2014 01 19 07       27.0
2014 01 19 08       27.0
2014 01 19 09       30.0
2014 01 19 10       34.0
2014 01 19 11       36.0
2014 01 19 12       35.0
2014 01 19 13       34.0
2014 01 19 14       32.0
2014 01 19 15       32.0
2014 01 19 16       33.0
2014 01 19 17       35.0
2014 01 19 18       32.0
2014 01 19 19       32.0
2014 01 19 20       33.0
2014 01 19 21       40.0
2014 01 19 22       40.0
2014 01 19 23       40.0
2014 01 20 00       40.0
2014 01 20 01       36.0
2014 01 20 02       22.0
2014 01 20 03       31.0
2014 01 20 04       29.0
2014 01 20 05       27.0
2014 01 20 06       29.0
2014 01 20 07       28.0
2014 01 20 08       29.0
2014 01 20 09       32.0
2014 01 20 10       37.0
2014 01 20 11       39.0
2014 01 20 12       34.0
2014 01 20 13       29.0
2014 01 20 14       29.0
2014 01 20 15       29.0
2014 01 20 16       30.0
2014 01 20 17       34.0
2014 01 20 18       38.0
2014 01 20 19       40.0
2014 01 20 20       40.0
2014 01 20 21       41.0
2014 01 20 22       37.0
2014 01 20 23       33.0
2014 01 21 00       32.0
2014 01 21 01       25.0
2014 01 21 02       28.0
2014 01 21 03       28.0
2014 01 21 04       33.0
2014 01 21 05       35.0
2014 01 21 06       38.0
2014 01 21 07       41.0
2014 01 21 08       41.0
2014 01 21 09       36.0
2014 01 21 10       38.0
2014 01 21 11       33.0
2014 01 21 12       29.0
2014 01 21 13       23.0
2014 01 21 14       21.0
2014 01 21 15    -9999.0
2014 01 21 16       24.0
2014 01 21 17       41.0
2014 01 21 18       49.0
2014 01 21 19       48.0
2014 01 21 20       48.0
2014 01 21 21       51.0
2014 01 21 22       44.0
2014 01 21 23       36.0
2014 01 22 00       30.0
2014 01 22 01       27.0
2014 01 22 02       25.0
2014 01 22 03       24.0
2014 01 22 04       23.0
2014 01 22 05       21.0
2014 01 22 06       19.0
2014 01 22 07       22.0
2014 01 22 08       28.0
2014 01 22 09       52.0
2014 01 22 10       48.0
2014 01 22 11       42.0
2014 01 22 12       40.0
2014 01 22 13       28.0
2014 01 22 14       25.0
2014 01 22 15       25.0
2014 01 22 16       32.0
2014 01 22 17       44.0
2014 01 22 18       53.0
2014 01 22 19       60.0
2014 01 22 20       64.0
2014 01 22 21       69.0
2014 01 22 22       69.0
2014 01 22 23       54.0
2014 01 23 00       44.0
2014 01 23 01       42.0
2014 01 23 02       38.0
2014 01 23 03       34.0
2014 01 23 04       32.0
2014 01 23 05       33.0
2014 01 23 06       38.0
2014 01 23 07       40.0
2014 01 23 08       48.0
2014 01 23 09       58.0
2014 01 23 10       63.0
2014 01 23 11    -9999.0
2014 01 23 12       38.0
2014 01 23 13       34.0
2014 01 23 14       19.0
2014 01 23 15       21.0
2014 01 23 16       24.0
2014 01 23 17       25.0
2014 01 23 18       31.0
2014 01 23 19       37.0
2014 01 23 20       48.0
2014 01 23 21       58.0
2014 01 23 22       58.0
2014 01 23 23       52.0
2014 01 24 00       52.0
2014 01 24 01       45.0
2014 01 24 02       45.0
2014 01 24 03       44.0
2014 01 24 04       34.0
2014 01 24 05       20.0
2014 01 24 06       13.0
2014 01 24 07       11.0
2014 01 24 08       28.0
2014 01 24 09       33.0
2014 01 24 10       30.0
2014 01 24 11       32.0
2014 01 24 12       32.0
2014 01 24 13       31.0
2014 01 24 14       35.0
2014 01 24 15       25.0
2014 01 24 16       19.0
2014 01 24 17       17.0
2014 01 24 18       22.0
2014 01 24 19       17.0
2014 01 24 20       14.0
2014 01 24 21       10.0
2014 01 24 22        9.0
2014 01 24 23        8.0
2014 01 25 00    -9999.0
2014 01 25 01    -9999.0
2014 01 25 02    -9999.0
2014 01 25 03    -9999.0
2014 01 25 04    -9999.0
2014 01 25 05    -9999.0
2014 01 25 06    -9999.0
2014 01 25 07    -9999.0
2014 01 25 08    -9999.0
2014 01 25 09    -9999.0
2014 01 25 10    -9999.0
